task,kind,n_pos,n_neg,portrait_exists,top_domain,top_name,top_majority,top_markers,top_mean_diff,top_auc,top_portrait_hit,top_portrait_miss,recovered,association_ok,passed,verdict,top3_names,top3_any_hit,dataset
motif_tumor_high,control,274,274,True,9,utag_domain::HR+ CK7-__09,HR+ CK7-,GATA3;DNA2;DNA1;PR;CK8_18,0.1743014370555393,0.759297245457936,True,False,True,True,True,pass_control,utag_domain::HR+ CK7-__09;utag_domain::HR+ CK7-__04;utag_domain::HR+ CK7-__00,True,bc_metabric_ali2020
motif_cd8_high,control,274,274,True,1,utag_domain::Myofibroblasts__01,Myofibroblasts,Vimentin;Fibronectin;SMA;CD44;CD68,0.10505458720694531,0.7087551281368214,False,False,False,True,False,fail_control,utag_domain::Myofibroblasts__01;utag_domain::T cells__02;utag_domain::Fibroblasts__05,True,bc_metabric_ali2020
motif_cd8_clustering,spatial,105,106,True,5,utag_domain::Fibroblasts__05,Fibroblasts,Fibronectin;DNA2;DNA1;SMA;Vimentin,0.0449217507852086,0.5519317160826595,False,False,False,False,False,abundance_only_or_fail,utag_domain::Fibroblasts__05;utag_domain::HR+ CK7-__09;utag_domain::HR+ CK7-__07,False,bc_metabric_ali2020
motif_tumor_stroma_mixing,spatial,163,164,True,9,utag_domain::HR+ CK7-__09,HR+ CK7-,GATA3;DNA2;DNA1;PR;CK8_18,0.051265578257739086,0.5315352386652702,True,False,True,False,False,abundance_only_or_fail,utag_domain::HR+ CK7-__09;utag_domain::HR+ CK7-__04;utag_domain::Fibroblasts__05,True,bc_metabric_ali2020
motif_interface_immune,spatial,138,138,True,1,utag_domain::Myofibroblasts__01,Myofibroblasts,Vimentin;Fibronectin;SMA;CD44;CD68,0.08216325941012105,0.6465816005040959,True,False,True,True,True,pass_spatial,utag_domain::Myofibroblasts__01;utag_domain::HR+ CK7-__00;utag_domain::HR- CK7+__03,True,bc_metabric_ali2020
motif_immune_exclusion,spatial,105,105,True,0,utag_domain::HR+ CK7-__00,HR+ CK7-,ER;panCK;CK8_18;Beta_catenin;E_cadherin,0.04530981334865172,0.5822675736961451,False,True,False,False,False,abundance_only_or_fail,utag_domain::HR+ CK7-__00;utag_domain::Fibroblasts__05;utag_domain::T cells__02,True,bc_metabric_ali2020
motif_t_tumor_mixing,spatial,106,105,True,4,utag_domain::HR+ CK7-__04,HR+ CK7-,GATA3;HH3_total;ER;Sox9;Ki67,0.03976789337159492,0.45085354896675656,True,False,True,False,False,abundance_only_or_fail,utag_domain::HR+ CK7-__04;utag_domain::HR+ CK7-__09;utag_domain::HR+ CK7-__07,True,bc_metabric_ali2020
motif_cd8_tumor_contact,spatial,106,105,True,4,utag_domain::HR+ CK7-__04,HR+ CK7-,GATA3;HH3_total;ER;Sox9;Ki67,0.03976789337159492,0.45085354896675656,True,False,True,False,False,abundance_only_or_fail,utag_domain::HR+ CK7-__04;utag_domain::HR+ CK7-__09;utag_domain::HR+ CK7-__07,True,bc_metabric_ali2020
motif_macrophage_tumor_niche,spatial,103,103,True,9,utag_domain::HR+ CK7-__09,HR+ CK7-,GATA3;DNA2;DNA1;PR;CK8_18,0.025069376765413903,0.5136205108869828,True,False,True,False,False,abundance_only_or_fail,utag_domain::HR+ CK7-__09;utag_domain::HR- CK7+__03;utag_domain::HR- CK7+__06,True,bc_metabric_ali2020
motif_apc_t_contact,spatial,103,103,True,7,utag_domain::HR+ CK7-__07,HR+ CK7-,Slug;c_PARP_c_Casp3;p53;vWF_CD31;c_Myc,0.05175966489414444,0.6094825148458856,True,False,True,True,True,pass_spatial,utag_domain::HR+ CK7-__07;utag_domain::HR+ CK7-__08;utag_domain::T cells__02,True,bc_metabric_ali2020
