domain,n_cells,majority,majority_frac,name,top_markers,top_marker_z,frac__tumor,frac__t_cell,frac__cd8,frac__cd4,frac__b_cell,frac__macrophage,frac__apc,frac__granulocyte,frac__vessel,frac__stroma,frac__immune,enrich__tumor,enrich__t_cell,enrich__cd8,enrich__cd4,enrich__b_cell,enrich__macrophage,enrich__apc,enrich__granulocyte,enrich__vessel,enrich__stroma,enrich__immune
0,34384,Tumor,0.3065088413215449,utag_domain::Tumor__00,CD69;CD14;CD11c;CD45;CD163,1.392;0.823;0.399;0.298;-0.144,0.4066717077710563,0.27533154955793393,0.02809446254071661,0.2472370870172173,0.025564215914378782,0.07963006049325268,0.10708469055374593,0.052553513261982314,0.026262214983713356,0.02504071661237785,0.4687936249418334,0.9812491045736241,1.6233273072274437,0.3764136667898448,2.60325783300169,0.40695246810022645,0.8158307545392132,0.8050377008112994,1.8831068851697634,0.6783690889293033,0.35240485657964427,1.09683972813182
1,481748,Tumor,0.3145711035645192,utag_domain::Tumor__01,FoxP3;CD11b;CD117;CD8;PanCK,0.566;0.368;0.308;0.302;0.156,0.4656791517556897,0.18475634564128965,0.0972956815596536,0.08746066408163604,0.04263432333917318,0.08698738759683486,0.13483813113910176,0.023348306583524995,0.024093509469681244,0.06755814243131264,0.4098823451264977,1.1236268517015269,1.0893049544979583,1.3035815939033846,0.9209081922009258,0.6786886469262253,0.891208491101599,1.0136815870932894,0.8366206967992912,0.6223500979712945,0.9507642238371682,0.9590045940798844
2,332557,CD4 T cell,0.28545783128907226,utag_domain::CD4 T cell__02,CD3e;CD4;CD45RO;CD45;CD20,1.960;1.794;1.537;1.526;1.517,0.06220888449198182,0.4387969581154509,0.15333912682637862,0.28545783128907226,0.25741151141007407,0.09993775503146829,0.12044251060720418,0.011152975279425782,0.023376443737464555,0.03907901502599554,0.8594105672110345,0.15010243161210068,2.587103023902705,2.054459767914036,3.005699283470373,4.09769070315274,1.0238883857332537,0.9054586731097615,0.3996354046611013,0.6038278511704087,0.5499696713432826,2.0107689241941458
3,233804,Tumor,0.4095823852457614,utag_domain::Tumor__03,CD163;PanCK;CD15;PDL1;CD20,1.222;1.093;0.733;0.557;0.485,0.6113753400283999,0.10207267625874664,0.06811688422781476,0.033955792030931894,0.01360541308104224,0.08409608047766505,0.1539451848556911,0.050499563737147354,0.004704795469709672,0.01616738806863869,0.3236557116217002,1.475173938824862,0.601810300921379,0.9126398529721469,0.35753406839866236,0.21658229031538795,0.86158629498589,1.1573239557058306,1.8095093984950545,0.12152774693090215,0.2275280760447471,0.7572595356592223
4,103560,Tumor,0.23148899188876013,utag_domain::Tumor__04,CD69;CD11c;CD14;CD38;CD45,1.882;1.302;0.944;0.881;0.783,0.30427771340285825,0.2272595596755504,0.09162804171494786,0.13563151796060255,0.06145229818462727,0.10917342603321746,0.1272305909617613,0.06474507531865585,0.04109694862881422,0.040237543453070686,0.5674295094631132,0.7341849165134239,1.3398996578566094,1.2276457366895988,1.4281183126391537,0.978248834246432,1.1185102458117275,0.9564898762938644,2.319957116960155,1.0615593397735994,0.5662739588965008,1.3276187980813863
5,253109,Tumor,0.32547637579066724,utag_domain::Tumor__05,Vimentin;PDL1;PD1;ICOS;CD38,0.014;-0.313;-0.450;-0.453;-0.456,0.42789470149224246,0.04830330015921994,0.01956074260496466,0.028742557554255282,0.007123413233033989,0.0510056931993726,0.07388516409926159,0.007984702242907206,0.05000217297685977,0.2302209719923037,0.16211197547301756,1.0324575933554634,0.2847914316523555,0.2620776545696923,0.3026418447019087,0.1133964212393658,0.5225666401718443,0.5554514125497879,0.28610927864505353,1.2915867358420987,3.239962732395219,0.37929452459341595
6,213951,Macrophage,0.25287098447775425,utag_domain::Macrophage__06,Vimentin;CD14;CD68;CD31;CD4,1.031;0.753;0.673;0.519;0.427,0.10726755191609294,0.20345780108529524,0.07952755537482882,0.12393024571046642,0.08299096522100854,0.25287098447775425,0.2824385022738851,0.018373365864146462,0.07875635075320984,0.11633972264677427,0.6618618281756103,0.25882348650309095,1.199566867293258,1.065521673037429,1.3049109532225185,1.3211192645151066,2.5907292395569685,2.1233067146702576,0.6583577312907554,2.0343247491113727,1.6372807499281414,1.5485627556625592
7,168394,Tumor,0.4102640236588002,utag_domain::Tumor__07,CD117;PanCK;CD56;CD163;CD38,1.534;1.393;1.380;1.273;1.127,0.6275639274558475,0.10196919130135278,0.06617219140824494,0.035796999893107834,0.012161953513783151,0.05684288038766227,0.11093031818235805,0.0360107842322173,0.04749575400548713,0.019038683088471085,0.26737294677957646,1.5142350208080662,0.601200163951989,0.8865845777045288,0.376920879848435,0.19360409941501408,0.5823701465199589,0.8339482314231471,1.290344860295136,1.2268443995563127,0.2679365965086427,0.6255743565026118
8,316935,Tumor,0.5979175540726016,utag_domain::Tumor__08,CD163;PanCK;CD15;PDL1;Ki67,0.961;0.870;0.371;0.198;0.181,0.8477353400539542,0.02056257592250777,0.014293151592597851,0.006269424329909919,0.0037452474482149336,0.01380093710066733,0.03919415653051887,0.0051177686276365816,0.005073595532206919,0.010380677425970625,0.0736617918500639,2.045481717679902,0.1212348931880064,0.19150170939043828,0.06601326763776665,0.05961996635460584,0.14139420287316848,0.29465251751118166,0.18338080065866827,0.13105407829893337,0.14609011379851833,0.17234701038554362
9,163453,Macrophage,0.21335796834564064,utag_domain::Macrophage__09,CD31;Vimentin;CD68;PDL1;CD11b,1.221;1.139;0.840;0.826;0.759,0.0913473597914997,0.11734871798009214,0.06069634696212367,0.05665237101796847,0.03206426312150894,0.21335796834564064,0.23309452870244046,0.09377007457801326,0.1490520210702771,0.11964907343395349,0.6057643481612451,0.22041000956731233,0.6918763166483126,0.8132184229418922,0.5965153949592278,0.5104256300610351,2.185908075721311,1.7523502424851702,3.3599860808635578,3.850104943517539,1.6838541490676513,1.4173110887153584
