task,kind,n_pos,n_neg,portrait_exists,top_domain,top_name,top_majority,top_markers,top_mean_diff,top_auc,top_portrait_hit,top_portrait_miss,recovered,association_ok,passed,verdict,top3_names,top3_any_hit,dataset
motif_tumor_high,control,175,191,True,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.14743853817573832,0.6667015706806283,True,False,True,False,False,fail_control,utag_domain::Tumor__08;utag_domain::Tumor__01;utag_domain::Tumor__03,True,hnc_wu2022
motif_cd8_high,control,183,183,True,2,utag_domain::CD4 T cell__02,CD4 T cell,CD3e;CD4;CD45RO;CD45;CD20,0.14023497207861052,0.7463047567858103,True,False,True,True,True,pass_control,utag_domain::CD4 T cell__02;utag_domain::Tumor__01;utag_domain::Tumor__04,True,hnc_wu2022
motif_cd8_clustering,spatial,100,123,True,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.0672686324921973,0.636260162601626,False,True,False,True,False,abundance_only_or_fail,utag_domain::Tumor__08;utag_domain::CD4 T cell__02;utag_domain::Macrophage__06,False,hnc_wu2022
motif_tumor_stroma_mixing,spatial,103,110,True,1,utag_domain::Tumor__01,Tumor,FoxP3;CD11b;CD117;CD8;PanCK,0.04292403645697167,0.5516328331862312,True,False,True,False,False,abundance_only_or_fail,utag_domain::Tumor__01;utag_domain::Macrophage__09;utag_domain::Macrophage__06,True,hnc_wu2022
motif_interface_immune,spatial,122,98,True,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.14741655031341028,0.5415690866510539,True,True,True,False,False,abundance_only_or_fail,utag_domain::Tumor__04;utag_domain::Tumor__08;utag_domain::Tumor__03,True,hnc_wu2022
motif_immune_exclusion,spatial,109,107,True,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.07131803580739834,0.6373574552002058,False,True,False,True,False,abundance_only_or_fail,utag_domain::Tumor__08;utag_domain::Macrophage__06;utag_domain::Tumor__03,False,hnc_wu2022
motif_t_tumor_mixing,spatial,120,118,True,5,utag_domain::Tumor__05,Tumor,Vimentin;PDL1;PD1;ICOS;CD38,0.047950638568144965,0.5341101694915253,True,False,True,False,False,abundance_only_or_fail,utag_domain::Tumor__05;utag_domain::Tumor__03;utag_domain::Tumor__04,True,hnc_wu2022
motif_cd8_tumor_contact,spatial,121,111,True,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.041929750321393504,0.5325738962102599,True,False,True,False,False,abundance_only_or_fail,utag_domain::Tumor__04;utag_domain::Tumor__00;utag_domain::Tumor__03,True,hnc_wu2022
motif_macrophage_tumor_niche,spatial,132,109,True,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.10230684671113542,0.6307686961356685,True,False,True,True,True,pass_spatial,utag_domain::Tumor__04;utag_domain::Tumor__00;utag_domain::Tumor__01,True,hnc_wu2022
motif_apc_t_contact,spatial,115,135,True,9,utag_domain::Macrophage__09,Macrophage,CD31;Vimentin;CD68;PDL1;CD11b,0.047684616678586055,0.6615780998389694,True,False,True,True,True,pass_spatial,utag_domain::Macrophage__09;utag_domain::Tumor__01;utag_domain::Macrophage__06,True,hnc_wu2022
