task,domain,name,majority,top_markers,mean_frac_pos,mean_frac_neg,mean_diff,auc
motif_tumor_high,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.47969247486399297,0.23037009672892195,0.24932237813507102,0.6973120002181485
motif_tumor_high,8,utag_domain::Basal__08,Basal,Ki67;CK5/14;TOX;c-PARP;panCK,0.15760792504710466,0.10128802077181567,0.05631990427528899,0.5365637505198072
motif_tumor_high,9,utag_domain::AR^{+}LAR__09,AR^{+}LAR,AR;CK8/18;GATA3;panCK;c-PARP,0.0717352957541784,0.030256063319132262,0.04147923243504614,0.5321019299333964
motif_tumor_high,6,utag_domain::CD56^{+}NE__06,CD56^{+}NE,CD56;CK5/14;panCK;Vimentin;H3,0.013298468104350028,0.002597244330793591,0.010701223773556437,0.5119743130023382
motif_tumor_high,1,utag_domain::Fibroblasts__01,Fibroblasts,H3;pH2AX;Caveolin-1;Vimentin;DNA1,0.11686853708596423,0.11582962283379146,0.0010389142521727707,0.5377090306703298
motif_tumor_high,4,utag_domain::PD-L1^{+}GZMB^{+}__04,PD-L1^{+}GZMB^{+},PD-L1 (73-10);PD-L1 (SP142);GZMB;CD8;T-bet,0.010667654396148604,0.022824342449310645,-0.012156688053162041,0.42706337898547264
motif_tumor_high,5,utag_domain::CD4^+TCF1^+T__05,CD4^+TCF1^+T,CD45;CD4;CD3;TCF1;ICOS,0.005936750034411661,0.05389962963668405,-0.04796287960227239,0.33278568945183346
motif_tumor_high,0,utag_domain::CD79a^+Plasma__00,CD79a^+Plasma,DNA2;DNA1;Vimentin;PDGFRB;CD163,0.028632610947615534,0.07708471727671687,-0.04845210632910134,0.3955409062710905
motif_tumor_high,2,utag_domain::Treg__02,Treg,ICOS;FOXP3;CD11c;CD4;Helios,0.04278603902609717,0.12854417822762898,-0.0857581392015318,0.2768544335294398
motif_tumor_high,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.07277424474013668,0.23730608442520448,-0.1645318396850678,0.23986802009693978
motif_cd8_high,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.2517717138195194,0.0583086153458218,0.1934630984736976,0.845946185467213
motif_cd8_high,2,utag_domain::Treg__02,Treg,ICOS;FOXP3;CD11c;CD4;Helios,0.13595500085800205,0.03537521639572409,0.10057978446227796,0.8286340489061892
motif_cd8_high,5,utag_domain::CD4^+TCF1^+T__05,CD4^+TCF1^+T,CD45;CD4;CD3;TCF1;ICOS,0.057862113161819294,0.0019742665092764167,0.05588784665254288,0.7512901444552762
motif_cd8_high,0,utag_domain::CD79a^+Plasma__00,CD79a^+Plasma,DNA2;DNA1;Vimentin;PDGFRB;CD163,0.07426545208166949,0.03145187614266292,0.042813575939006566,0.5873173857617136
