domain,n_cells,majority,majority_frac,name,top_markers,top_marker_z,frac__tumor,frac__t_cell,frac__cd8,frac__cd4,frac__b_cell,frac__macrophage,frac__apc,frac__granulocyte,frac__vessel,frac__stroma,frac__immune,enrich__tumor,enrich__t_cell,enrich__cd8,enrich__cd4,enrich__b_cell,enrich__macrophage,enrich__apc,enrich__granulocyte,enrich__vessel,enrich__stroma,enrich__immune
0,48609,CD79a^+Plasma,0.15336666049497008,utag_domain::CD79a^+Plasma__00,DNA2;DNA1;Vimentin;PDGFRB;CD163,1.822;1.800;1.399;1.194;1.141,0.0960315990865889,0.2525869694912465,0.12804213211545187,0.12454483737579461,0.038737682322203704,0.08595116130757678,0.15493015696681683,0.01199366372482462,0.04844781830525211,0.1938735625090004,0.6273941039725154,0.21406300550976232,1.6029378919548765,1.8930068408007352,1.3847860409921091,2.3369608262873376,2.8911981768515336,1.6863152966054085,0.3217161252312211,2.198440508233815,1.456579217145205,1.695359235828122
1,82895,Fibroblasts,0.19074733096085408,utag_domain::Fibroblasts__01,H3;pH2AX;Caveolin-1;Vimentin;DNA1,0.932;0.599;0.588;0.518;0.490,0.3427347849689366,0.04394716207250136,0.01708185053380783,0.026865311538693527,0.002750467458833464,0.019808191085107667,0.05894203510465046,0.07764038844321129,0.05120936124012305,0.3760299173653417,0.21540503046022075,0.7639864259371536,0.2788923414053468,0.252542341960359,0.29870935792732756,0.16592976966997405,0.6663017122834577,0.641546212538296,2.082613411921557,2.323752401846763,2.8251266215513953,0.582072584874931
2,100029,Treg,0.10737886013056214,utag_domain::Treg__02,ICOS;FOXP3;CD11c;CD4;Helios,1.345;1.313;1.270;1.143;0.961,0.18147737156224694,0.3883673734616961,0.14403822891361506,0.24432914454808105,0.01844465105119515,0.07810734886882804,0.2015415529496446,0.029381479370982413,0.014445810714892681,0.07244898979296004,0.7060652410800867,0.4045292586828499,2.4646116154551567,2.129497128526735,2.7166408171285887,1.112726017077072,2.6273504768615092,2.1936504183197005,0.788124122342086,0.6555146663117196,0.5443119292280589,1.9079462493877273
3,347145,Vimentin^{+}EMT,0.14187731351452562,utag_domain::Vimentin^{+}EMT__03,Calponin;CA9;panCK;CK5/14;Caveolin-1,-0.045;-0.056;-0.062;-0.066;-0.069,0.6516124386063461,0.03714874188019415,0.015350934047732216,0.02179780783246194,0.0014864105777124832,0.008912702184965936,0.040487404398738276,0.048803813968226535,0.019190828040156132,0.1512854858920624,0.16661625545521325,1.4525022842725899,0.23574900208887412,0.22695204058954568,0.24236492372254917,0.08967194430995047,0.2998026776599545,0.4406794047982834,1.3091057317094135,0.8708316540531381,1.136613428640443,0.45023439929787423
4,23812,PD-L1^{+}GZMB^{+},0.21766336301024694,utag_domain::PD-L1^{+}GZMB^{+}__04,PD-L1 (73-10);PD-L1 (SP142);GZMB;CD8;T-bet,4.580;4.401;3.670;2.474;2.368,0.39186124643037124,0.14412901058289937,0.07500419956324542,0.06912481101965395,0.002309759784982362,0.06227952292961532,0.37917856542919537,0.01226272467663363,0.005963379808499916,0.012892659163447001,0.5836133042163615,0.8734936932379105,0.9146546746201064,1.108880807560942,0.7685832299688575,0.13934282621094543,2.0949390375882473,4.127115259846394,0.32893337334264294,0.2706032220973837,0.09686302324145811,1.577053719807862
5,39556,CD4^+TCF1^+T,0.1735767013853777,utag_domain::CD4^+TCF1^+T__05,CD45;CD4;CD3;TCF1;ICOS,3.434;3.221;3.165;3.067;2.393,0.02275255334209728,0.6040297300030337,0.2241126504196582,0.37991707958337545,0.12673172211548184,0.04307816766103752,0.12015876226109819,0.014460511679644048,0.008140357973505916,0.04487309131358075,0.9187228233390636,0.05071747214204942,3.8332228461321725,3.3133373628288676,4.224212577789236,7.645451464246645,1.4490498779650256,1.3078509877548319,0.387886461816231,0.3693890322929044,0.3371331880971982,2.482594614536261
6,9663,CD56^{+}NE,0.8282107006105764,utag_domain::CD56^{+}NE__06,CD56;CK5/14;panCK;Vimentin;H3,9.333;0.729;0.467;0.386;0.311,0.8481837938528407,0.009210390147987168,0.0040360136603539275,0.00517437648763324,0.0008279002380213184,0.005070888957880575,0.012004553451309118,0.007244127082686536,0.0019662630653006314,0.018834730414984995,0.13080823760736832,1.8906773797768386,0.05844990102867582,0.05966943335281431,0.0575327286292229,0.04994543577070975,0.17057297059171322,0.1306618576407664,0.19431531091710186,0.08922408735446163,0.14150602345137295,0.35347312374450757
7,169549,CD79a^+Plasma,0.13653280172693438,utag_domain::CD79a^+Plasma__07,CD79a;CD3;CD45;CD31;CD8,0.497;0.493;0.445;0.427;0.414,0.10099145379801709,0.33624497932751,0.15885083368229833,0.17739414564521172,0.04109136591781727,0.04977322190045356,0.1585323416829353,0.017233955965532087,0.03685070392629859,0.142159493715681,0.6999687406000625,0.22511896434538214,2.1338385722321616,2.3484903746866146,1.9724056156739032,2.4789534812601746,1.6742560103365665,1.725522764711762,0.4622808895467465,1.6721925383319725,1.0680495132312455,1.8914721411205377
8,139522,Basal,0.2084474133111624,utag_domain::Basal__08,Ki67;CK5/14;TOX;c-PARP;panCK,1.389;0.645;0.552;0.502;0.456,0.7132065194019581,0.03830937056521552,0.0183340261750835,0.019975344390132023,0.0008385774286492453,0.008801479336592078,0.031113372801422,0.03742778916586632,0.003748512779346626,0.034109316093519304,0.1552443342268603,1.5898009878465176,0.24311444814279254,0.27105481918685187,0.22210136251573692,0.05058956765306466,0.29606139840845025,0.33864908879723166,1.0039570545479557,0.17009811025596533,0.25626454834732926,0.4195049238987196
9,42834,AR^{+}LAR,0.5005836485035252,utag_domain::AR^{+}LAR__09,AR;CK8/18;GATA3;panCK;c-PARP,2.649;2.596;1.933;1.604;1.372,0.8810991268618388,0.016645655320539757,0.00761077648596909,0.009034878834570667,9.338376056403791e-05,0.004809263669047953,0.010669094644441332,0.03354811598263062,0.0036419666619974785,0.04895643647569688,0.06401456786664798,1.964048594858946,0.10563471149543266,0.11251961923559871,0.10045678613251062,0.00563364086767951,0.1617725012718827,0.11612624586513327,0.8998893190910556,0.16526331462286645,0.3678115107245686,0.1729816843561254
