task,kind,n_pos,n_neg,portrait_exists,top_domain,top_name,top_majority,top_markers,top_mean_diff,top_auc,top_portrait_hit,top_portrait_miss,recovered,association_ok,passed,verdict,top3_names,top3_any_hit,dataset
motif_tumor_high,control,383,383,True,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.24932237813507102,0.6973120002181485,True,False,True,False,False,fail_control,utag_domain::Vimentin^{+}EMT__03;utag_domain::Basal__08;utag_domain::AR^{+}LAR__09,True,tnbc_wang2023
motif_cd8_high,control,383,383,True,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.1934630984736976,0.845946185467213,True,False,True,True,True,pass_control,utag_domain::CD79a^+Plasma__07;utag_domain::Treg__02;utag_domain::CD4^+TCF1^+T__05,True,tnbc_wang2023
motif_cd8_clustering,spatial,203,204,True,8,utag_domain::Basal__08,Basal,Ki67;CK5/14;TOX;c-PARP;panCK,0.0690187980524069,0.6054766734279918,False,True,False,True,False,abundance_only_or_fail,utag_domain::Basal__08;utag_domain::PD-L1^{+}GZMB^{+}__04;utag_domain::CD4^+TCF1^+T__05,True,tnbc_wang2023
motif_tumor_stroma_mixing,spatial,229,229,True,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.1901735229198923,0.6643084609370531,True,False,True,True,True,pass_spatial,utag_domain::Vimentin^{+}EMT__03;utag_domain::CD79a^+Plasma__07;utag_domain::Fibroblasts__01,True,tnbc_wang2023
motif_interface_immune,spatial,237,237,True,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.025830913088610935,0.5918567181185351,True,False,True,False,False,abundance_only_or_fail,utag_domain::CD79a^+Plasma__07;utag_domain::Vimentin^{+}EMT__03;utag_domain::Fibroblasts__01,True,tnbc_wang2023
motif_immune_exclusion,spatial,203,202,True,0,utag_domain::CD79a^+Plasma__00,CD79a^+Plasma,DNA2;DNA1;Vimentin;PDGFRB;CD163,0.051453539912546725,0.6102033848705067,False,False,False,True,False,abundance_only_or_fail,utag_domain::CD79a^+Plasma__00;utag_domain::Fibroblasts__01;utag_domain::Treg__02,False,tnbc_wang2023
motif_t_tumor_mixing,spatial,220,220,True,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.08566376574334389,0.554349173553719,True,False,True,False,False,abundance_only_or_fail,utag_domain::Vimentin^{+}EMT__03;utag_domain::Treg__02;utag_domain::PD-L1^{+}GZMB^{+}__04,True,tnbc_wang2023
motif_cd8_tumor_contact,spatial,202,204,True,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.12566378856152693,0.5980756163851679,True,False,True,False,False,abundance_only_or_fail,utag_domain::Vimentin^{+}EMT__03;utag_domain::CD79a^+Plasma__07;utag_domain::CD56^{+}NE__06,True,tnbc_wang2023
motif_macrophage_tumor_niche,spatial,194,193,True,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.0459778942824855,0.5178142193258908,True,False,True,False,False,abundance_only_or_fail,utag_domain::Vimentin^{+}EMT__03;utag_domain::Basal__08;utag_domain::PD-L1^{+}GZMB^{+}__04,True,tnbc_wang2023
motif_apc_t_contact,spatial,232,230,True,8,utag_domain::Basal__08,Basal,Ki67;CK5/14;TOX;c-PARP;panCK,0.05027771859139464,0.6063718140929535,False,False,False,True,False,abundance_only_or_fail,utag_domain::Basal__08;utag_domain::Treg__02;utag_domain::AR^{+}LAR__09,True,tnbc_wang2023
