task,seed,fold,auc
motif_tumor_high,0,0,0.7596273291925466
motif_tumor_high,0,1,0.7364864864864865
motif_tumor_high,0,2,0.8784029038112522
motif_tumor_high,0,3,0.7279411764705882
motif_tumor_high,0,4,0.6858974358974359
motif_tumor_high,1,0,0.7866666666666666
motif_tumor_high,1,1,0.7371621621621621
motif_tumor_high,1,2,0.8129870129870129
motif_tumor_high,1,3,0.7788671023965141
motif_tumor_high,1,4,0.6860537836147592
motif_tumor_high,2,0,0.7583527583527584
motif_tumor_high,2,1,0.8259141494435612
motif_tumor_high,2,2,0.7119155354449471
motif_tumor_high,2,3,0.7649521531100478
motif_tumor_high,2,4,0.8168402777777778
motif_cd8_high,0,0,0.6555555555555556
motif_cd8_high,0,1,0.7246031746031747
motif_cd8_high,0,2,0.8058968058968059
motif_cd8_high,0,3,0.7802275960170697
motif_cd8_high,0,4,0.7665847665847666
motif_cd8_high,1,0,0.7606837606837606
motif_cd8_high,1,1,0.7694581280788177
motif_cd8_high,1,2,0.7012417823228634
motif_cd8_high,1,3,0.6657986111111112
motif_cd8_high,1,4,0.7905405405405406
motif_cd8_high,2,0,0.7880067567567568
motif_cd8_high,2,1,0.6937500000000001
motif_cd8_high,2,2,0.7888888888888889
motif_cd8_high,2,3,0.7133464825772518
motif_cd8_high,2,4,0.7030651340996168
motif_cd8_clustering,0,0,0.6125541125541125
motif_cd8_clustering,0,1,0.6898550724637682
motif_cd8_clustering,0,2,0.7325
motif_cd8_clustering,0,3,0.4970588235294118
motif_cd8_clustering,0,4,0.7003367003367004
motif_cd8_clustering,1,0,0.5775729646697388
motif_cd8_clustering,1,1,0.36309523809523814
motif_cd8_clustering,1,2,0.662037037037037
motif_cd8_clustering,1,3,0.5718518518518518
motif_cd8_clustering,1,4,0.702020202020202
motif_cd8_clustering,2,0,0.6471571906354515
motif_cd8_clustering,2,1,0.4305882352941176
motif_cd8_clustering,2,2,0.6799242424242424
motif_cd8_clustering,2,3,0.5749559082892417
motif_cd8_clustering,2,4,0.7927170868347339
motif_tumor_stroma_mixing,0,0,0.6340579710144928
motif_tumor_stroma_mixing,0,1,0.6933333333333334
motif_tumor_stroma_mixing,0,2,0.6212121212121212
motif_tumor_stroma_mixing,0,3,0.6111111111111112
motif_tumor_stroma_mixing,0,4,0.7368421052631579
motif_tumor_stroma_mixing,1,0,0.5646153846153846
motif_tumor_stroma_mixing,1,1,0.5941043083900227
motif_tumor_stroma_mixing,1,2,0.5085470085470086
motif_tumor_stroma_mixing,1,3,0.6432748538011697
motif_tumor_stroma_mixing,1,4,0.5947368421052632
motif_tumor_stroma_mixing,2,0,0.6035087719298246
motif_tumor_stroma_mixing,2,1,0.5873015873015873
motif_tumor_stroma_mixing,2,2,0.568922305764411
motif_tumor_stroma_mixing,2,3,0.7950310559006211
motif_tumor_stroma_mixing,2,4,0.5784313725490197
motif_interface_immune,0,0,0.7788235294117647
motif_interface_immune,0,1,0.8469696969696969
motif_interface_immune,0,2,0.7647058823529411
motif_interface_immune,0,3,0.6618357487922705
motif_interface_immune,0,4,0.845
motif_interface_immune,1,0,0.8376623376623377
motif_interface_immune,1,1,0.7083870967741935
motif_interface_immune,1,2,0.8315018315018315
motif_interface_immune,1,3,0.6931818181818181
motif_interface_immune,1,4,0.7492063492063492
motif_interface_immune,2,0,0.8038461538461539
motif_interface_immune,2,1,0.7687499999999999
motif_interface_immune,2,2,0.7267080745341614
motif_interface_immune,2,3,0.7480769230769231
motif_interface_immune,2,4,0.7033248081841432
motif_immune_exclusion,0,0,0.671592775041051
motif_immune_exclusion,0,1,0.7291666666666666
motif_immune_exclusion,0,2,0.7060185185185186
motif_immune_exclusion,0,3,0.6343490304709141
motif_immune_exclusion,0,4,0.8214285714285714
motif_immune_exclusion,1,0,0.70995670995671
motif_immune_exclusion,1,1,0.7536231884057971
motif_immune_exclusion,1,2,0.676470588235294
motif_immune_exclusion,1,3,0.7202380952380952
motif_immune_exclusion,1,4,0.7646153846153846
motif_immune_exclusion,2,0,0.7764705882352941
motif_immune_exclusion,2,1,0.6638888888888889
motif_immune_exclusion,2,2,0.7708333333333333
motif_immune_exclusion,2,3,0.6785714285714286
motif_immune_exclusion,2,4,0.7341269841269842
