task,seed,fold,auc
motif_tumor_high,0,0,0.8055900621118012
motif_tumor_high,0,1,0.7155405405405406
motif_tumor_high,0,2,0.9010889292196008
motif_tumor_high,0,3,0.864889705882353
motif_tumor_high,0,4,0.6987179487179487
motif_tumor_high,1,0,0.8546031746031746
motif_tumor_high,1,1,0.716891891891892
motif_tumor_high,1,2,0.8337662337662338
motif_tumor_high,1,3,0.7919389978213507
motif_tumor_high,1,4,0.8455284552845528
motif_tumor_high,2,0,0.7863247863247863
motif_tumor_high,2,1,0.9308426073131955
motif_tumor_high,2,2,0.7058823529411765
motif_tumor_high,2,3,0.812200956937799
motif_tumor_high,2,4,0.8854166666666666
motif_cd8_high,0,0,0.7058823529411765
motif_cd8_high,0,1,0.7325396825396825
motif_cd8_high,0,2,0.7469287469287469
motif_cd8_high,0,3,0.7724039829302987
motif_cd8_high,0,4,0.7846027846027845
motif_cd8_high,1,0,0.7633547008547009
motif_cd8_high,1,1,0.7645320197044334
motif_cd8_high,1,2,0.7384952520087654
motif_cd8_high,1,3,0.7526041666666666
motif_cd8_high,1,4,0.7567567567567568
motif_cd8_high,2,0,0.8682432432432432
motif_cd8_high,2,1,0.7218749999999999
motif_cd8_high,2,2,0.6842592592592592
motif_cd8_high,2,3,0.722550953320184
motif_cd8_high,2,4,0.7787356321839081
motif_cd8_clustering,0,0,0.5952380952380952
motif_cd8_clustering,0,1,0.6869565217391305
motif_cd8_clustering,0,2,0.6799999999999999
motif_cd8_clustering,0,3,0.4941176470588235
motif_cd8_clustering,0,4,0.627946127946128
motif_cd8_clustering,1,0,0.5468509984639016
motif_cd8_clustering,1,1,0.6101190476190476
motif_cd8_clustering,1,2,0.7893518518518519
motif_cd8_clustering,1,3,0.5762962962962963
motif_cd8_clustering,1,4,0.6186868686868687
motif_cd8_clustering,2,0,0.7558528428093646
motif_cd8_clustering,2,1,0.4117647058823529
motif_cd8_clustering,2,2,0.7386363636363636
motif_cd8_clustering,2,3,0.4973544973544974
motif_cd8_clustering,2,4,0.5658263305322129
motif_tumor_stroma_mixing,0,0,0.7101449275362318
motif_tumor_stroma_mixing,0,1,0.7983333333333333
motif_tumor_stroma_mixing,0,2,0.6666666666666667
motif_tumor_stroma_mixing,0,3,0.6994949494949494
motif_tumor_stroma_mixing,0,4,0.5603715170278638
motif_tumor_stroma_mixing,1,0,0.6276923076923078
motif_tumor_stroma_mixing,1,1,0.7573696145124716
motif_tumor_stroma_mixing,1,2,0.6773504273504274
motif_tumor_stroma_mixing,1,3,0.716374269005848
motif_tumor_stroma_mixing,1,4,0.6552631578947369
motif_tumor_stroma_mixing,2,0,0.7842105263157895
motif_tumor_stroma_mixing,2,1,0.5555555555555556
motif_tumor_stroma_mixing,2,2,0.6691729323308271
motif_tumor_stroma_mixing,2,3,0.7888198757763976
motif_tumor_stroma_mixing,2,4,0.6838235294117647
motif_interface_immune,0,0,0.7082352941176471
motif_interface_immune,0,1,0.8090909090909091
motif_interface_immune,0,2,0.8235294117647058
motif_interface_immune,0,3,0.7053140096618358
motif_interface_immune,0,4,0.865
motif_interface_immune,1,0,0.7770562770562771
motif_interface_immune,1,1,0.6993548387096774
motif_interface_immune,1,2,0.8534798534798536
motif_interface_immune,1,3,0.7670454545454546
motif_interface_immune,1,4,0.8380952380952381
motif_interface_immune,2,0,0.7211538461538463
motif_interface_immune,2,1,0.8125
motif_interface_immune,2,2,0.8322981366459627
motif_interface_immune,2,3,0.7903846153846154
motif_interface_immune,2,4,0.7698209718670077
motif_immune_exclusion,0,0,0.6141215106732348
motif_immune_exclusion,0,1,0.7208333333333333
motif_immune_exclusion,0,2,0.6157407407407407
motif_immune_exclusion,0,3,0.7257617728531855
motif_immune_exclusion,0,4,0.7547619047619047
motif_immune_exclusion,1,0,0.7835497835497834
motif_immune_exclusion,1,1,0.6988727858293076
motif_immune_exclusion,1,2,0.7320261437908496
motif_immune_exclusion,1,3,0.7083333333333334
motif_immune_exclusion,1,4,0.7553846153846153
motif_immune_exclusion,2,0,0.7176470588235294
motif_immune_exclusion,2,1,0.75
motif_immune_exclusion,2,2,0.5757575757575757
motif_immune_exclusion,2,3,0.6130952380952381
motif_immune_exclusion,2,4,0.8293650793650794
