dataset,n_regions,cohorts,motif_id,panel,kind,spatial,definition,residual_on,label_rule,recommended_label_version,label_column,n_labeled,n_negative,n_positive,n_labeled_UPMC,n_labeled_DFCI,auc_composition,auc_density_v1,auc_pointpattern_pooled_v1,auc_pointpattern_bytype_v2,decision,notes
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",tumor_high,control,composition,False,Tumor-cell fraction at or above the UPMC median.,,median,v2,tumor_high_label_v2,366,191,175,308,58,0.998,0.994,0.574,0.970,keep_as_control,Pipeline positive control. Same as v1. Density/by-type PP recover it because they encode abundance.
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",cd8_high,control,composition,False,CD8 T-cell fraction at or above the UPMC median.,,median,v2,cd8_high_label_v2,366,183,183,308,58,0.995,0.992,0.740,0.985,keep_as_control,Pipeline positive control. Same as v1.
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",cd8_clustering,primary,neighbor_fraction,True,"After residualizing on CD8 fraction: CD8 cells have unusually many CD8 neighbors within 50 um (hotspot vs diffuse).",cd8,tertile_extremes,v2,cd8_clustering_label_v2,223,123,100,182,41,0.556,0.639,0.566,0.913,adopt,"Cleanest spatial task. Composition ~chance; type-specific K/L recovers it. Pooled K/L does not."
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",tumor_stroma_mixing,primary,neighbor_fraction,True,"After residualizing on tumor and stroma fractions: tumor cells have unusually many stromal neighbors within 50 um.",tumor;stroma,tertile_extremes,v2,tumor_stroma_mixing_label_v2,213,110,103,181,32,0.499,0.825,0.648,0.914,adopt,Composition at chance. Type-specific PP and density both recover mixing/compartment structure.
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",interface_immune,primary,interface,True,"After residualizing on immune and tumor fractions: immune cells are concentrated within 50 um of the tumor boundary.",immune;tumor,tertile_extremes,v2,interface_immune_label_v2,220,98,122,185,35,0.531,0.934,0.696,0.833,adopt,Density 0.93 shares the tumor polygon with the label; prefer type-specific PP 0.83 as independent evidence.
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",immune_exclusion,primary,immune_exclusion,True,"After residualizing on tumor and CD8 fractions: CD8 cells lie outside the tumor polygon more than abundance predicts.",tumor;cd8,tertile_extremes,v2,immune_exclusion_label_v2,216,107,109,179,37,0.620,0.928,0.612,0.832,adopt_with_caveat,"v2 composition 0.62 is borderline. Density 0.93 is polygon leakage. Type-specific PP 0.83 is the fairer recovery."
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",tls_like,exploratory,tls_like,True,"After residualizing on B and T fractions: cells sit in 50 um neighborhoods jointly enriched for B and T that form connected clusters of size >=5.",b_cell;t_cell,tertile_extremes,v2,tls_like_label_v2,231,130,101,179,52,0.514,0.628,0.540,0.645,hold,"Residualization worked (composition ~0.51) but type-specific PP only 0.65. Needs B–T cross-type features and atlas review before promotion."
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",t_tumor_mixing,not_spatial,neighbor_fraction,True,"After residualizing on tumor and T fractions: T cells have many tumor neighbors within 50 um.",tumor;t_cell,tertile_extremes,v1,t_tumor_mixing_label,238,118,120,206,32,0.799,,, ,do_not_use_as_spatial,v1 composition 0.80; composition shortcut remains. Not refined as a primary v2 task.
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",cd8_tumor_contact,not_spatial,neighbor_fraction,True,"After residualizing on tumor and CD8 fractions: CD8 cells have many tumor neighbors within 50 um.",tumor;cd8,tertile_extremes,v1,cd8_tumor_contact_label,232,111,121,206,26,0.702,,, ,do_not_use_as_spatial,v1 composition 0.70.
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",macrophage_tumor_niche,not_spatial,neighbor_fraction,True,"After residualizing on tumor and macrophage fractions: macrophages sit in tumor-rich 50 um neighborhoods.",tumor;macrophage,tertile_extremes,v1,macrophage_tumor_niche_label,241,109,132,206,35,0.711,,, ,do_not_use_as_spatial,v1 composition 0.71.
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",granulocyte_tumor_niche,not_spatial,neighbor_fraction,True,"After residualizing on tumor and granulocyte fractions: granulocytes sit in tumor-rich 50 um neighborhoods.",tumor;granulocyte,tertile_extremes,v1,granulocyte_tumor_niche_label,236,114,122,204,32,0.637,,, ,do_not_use_as_spatial,v1 composition 0.64; partial leak.
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",apc_t_contact,not_spatial,neighbor_fraction,True,"After residualizing on APC and T fractions: APCs/macrophages have many T-cell neighbors within 50 um.",apc;t_cell,tertile_extremes,v1,apc_t_contact_label,250,135,115,206,44,0.733,,, ,do_not_use_as_spatial,v1 composition 0.73.
hnc_wu2022,366,"UPMC_HNC=308; DFCI_HNC=58",vessel_immune,not_spatial,neighbor_fraction,True,"After residualizing on immune and vessel fractions: immune cells have many vessel neighbors within 50 um.",immune;vessel,tertile_extremes,v1,vessel_immune_label,244,124,120,206,38,0.654,,, ,do_not_use_as_spatial,v1 composition 0.65; partial leak.
