motif_id,n_v1_labeled,n_v2_labeled,n_v2_0,n_v2_1,n_uncertain,confidence,n_boot
tumor_high,140,140,70,70,0,0.9,1000
cd8_high,140,140,70,70,0,0.9,1000
immune_exclusion,90,76,39,37,64,0.9,1000
t_tumor_mixing,94,76,38,38,64,0.9,1000
cd8_tumor_contact,90,76,38,38,64,0.9,1000
macrophage_tumor_niche,94,77,38,39,63,0.9,1000
granulocyte_tumor_niche,90,76,38,38,64,0.9,1000
apc_t_contact,94,78,39,39,62,0.9,1000
tls_like,94,79,40,39,61,0.9,1000
interface_immune,94,84,42,42,56,0.9,1000
vessel_immune,94,80,40,40,60,0.9,1000
tumor_stroma_mixing,92,78,40,38,62,0.9,1000
cd8_clustering,90,77,38,39,63,0.9,1000
