motif_id,kind,spatial,label_rule,frac_col,n_labeled,n_positive,positive_rate,n_dropped,spearman_rho,spearman_p,n,n_regions,real_mean,shuffled_mean,mean_abs_delta,ks_stat,ks_p
tumor_high,composition,False,median,frac__tumor,308.0,154.0,0.5,0.0,1.0,0.0,308.0,,,,,,
cd8_high,composition,False,median,frac__cd8,308.0,154.0,0.5,0.0,1.0,0.0,308.0,,,,,,
immune_exclusion,immune_exclusion,True,tertile_extremes,frac__cd8,206.0,103.0,0.5,102.0,-0.16770853419658535,0.0031547479043492737,308.0,16.0,0.16519218397610447,0.10750630946808523,0.0771124835075285,0.25,0.7164116566837258
t_tumor_mixing,neighbor_fraction,True,tertile_extremes,frac__t_cell,206.0,103.0,0.5,102.0,-0.46852350710546214,3.2730692472531878e-18,308.0,16.0,0.3156022561325845,0.4371158611286257,0.12369551331153254,0.375,0.21453463154903454
cd8_tumor_contact,neighbor_fraction,True,tertile_extremes,frac__cd8,206.0,103.0,0.5,102.0,-0.21926124222066792,0.00010459116623214894,308.0,16.0,0.3526810842591367,0.43846778124641517,0.09250076517843922,0.3125,0.42629346134549484
macrophage_tumor_niche,neighbor_fraction,True,tertile_extremes,frac__macrophage,206.0,103.0,0.5,102.0,-0.3549778073670424,1.4118357229251145e-10,308.0,16.0,0.3193640940276665,0.4379762139880294,0.1207365877469495,0.375,0.21453463154903454
granulocyte_tumor_niche,neighbor_fraction,True,tertile_extremes,frac__granulocyte,204.0,102.0,0.5,104.0,-0.12807825965864536,0.025057160788734944,306.0,16.0,0.3601507749694147,0.4380902951160438,0.10730848870956763,0.375,0.21453463154903454
apc_t_contact,neighbor_fraction,True,tertile_extremes,frac__apc,206.0,103.0,0.5,102.0,0.19924043572884534,0.0004351867850491824,308.0,16.0,0.1333114445673459,0.11231679355617513,0.023614523487983617,0.3125,0.42629346134549484
tls_like,tls_like,True,tertile_extremes,frac__b_cell,206.0,103.0,0.5,102.0,0.9378366190771495,1.1395347377047085e-142,308.0,16.0,0.09336881823253707,0.12675005694931313,0.07804828241419712,0.3125,0.42629346134549484
interface_immune,interface,True,tertile_extremes,frac__immune,206.0,103.0,0.5,102.0,-0.15143068247018154,0.007764073483969726,308.0,16.0,0.34434036584106054,0.3273390471217966,0.027773567834006644,0.25,0.7164116566837258
vessel_immune,neighbor_fraction,True,tertile_extremes,frac__immune,206.0,103.0,0.5,102.0,-0.13414355165090439,0.018508151282352326,308.0,16.0,0.05533933168113882,0.045262500312546694,0.013000354753208297,0.3125,0.42629346134549484
tumor_stroma_mixing,neighbor_fraction,True,tertile_extremes,frac__tumor,206.0,103.0,0.5,102.0,-0.42082094876124165,1.1945104742299403e-14,308.0,16.0,0.07527452720411752,0.10576784266701256,0.031573813610506846,0.3125,0.42629346134549484
cd8_clustering,neighbor_fraction,True,tertile_extremes,frac__cd8,206.0,103.0,0.5,102.0,0.8357441236856815,1.1857772191360962e-81,308.0,16.0,0.09339888950585418,0.05115912838351742,0.04223976112233675,0.5625,0.011199353883429802
