motif_id,n_v1_labeled,n_v2_labeled,n_v2_0,n_v2_1,n_uncertain,confidence,n_boot
tumor_high,366,366,191,175,0,0.9,1000
cd8_high,366,366,183,183,0,0.9,1000
immune_exclusion,250,216,107,109,150,0.9,1000
t_tumor_mixing,238,238,118,120,128,0.9,1000
cd8_tumor_contact,232,232,111,121,134,0.9,1000
macrophage_tumor_niche,241,241,109,132,125,0.9,1000
granulocyte_tumor_niche,236,236,114,122,130,0.9,1000
apc_t_contact,250,250,135,115,116,0.9,1000
tls_like,260,231,130,101,135,0.9,1000
interface_immune,246,220,98,122,146,0.9,1000
vessel_immune,244,244,124,120,122,0.9,1000
tumor_stroma_mixing,240,213,110,103,153,0.9,1000
cd8_clustering,249,223,123,100,143,0.9,1000
