file,motif,kind,sigma,score_sd,n_labeled_clean,n_labeled_noisy,n_flipped,flip_rate,n_gained_label,n_lost_label,cut_low,cut_high
bc_jackson2020_v2.csv,tumor_high,control,0.024920750754566918,0.24920750754566917,708,708,59,0.08333333333333333,0,0,0.4380162237368399,0.4380162237368399
bc_jackson2020_v2.csv,cd8_high,control,0.010638715913953406,0.10638715913953405,708,708,121,0.1709039548022599,0,0,0.06301039317637169,0.06301039317637169
bc_jackson2020_v2.csv,immune_exclusion,spatial,0.021016808417012908,0.21016808417012908,368,421,16,0.043478260869565216,60,7,-0.07981526911191761,0.08228417717009945
bc_jackson2020_v2.csv,t_tumor_mixing,spatial,0.010120642796676222,0.10120642796676221,385,430,17,0.04415584415584416,76,31,-0.0026628316806590773,0.06354046323063534
bc_jackson2020_v2.csv,cd8_tumor_contact,spatial,0.010120642796676222,0.10120642796676221,381,437,17,0.04461942257217848,82,26,-0.0026628316806590773,0.06354046323063534
bc_jackson2020_v2.csv,macrophage_tumor_niche,spatial,0.010488397718214323,0.10488397718214322,301,326,15,0.04983388704318937,30,5,-0.02278068590506714,0.04478039313118499
bc_jackson2020_v2.csv,apc_t_contact,spatial,0.004573512584557287,0.04573512584557287,315,325,13,0.04126984126984127,29,19,-0.01575922422333874,0.01400827965985523
bc_jackson2020_v2.csv,tls_like,spatial,0.008738036790316284,0.08738036790316284,539,578,64,0.11873840445269017,132,93,-0.007703465653045934,0.00020560647234663324
bc_jackson2020_v2.csv,interface_immune,spatial,0.019524547996714048,0.19524547996714045,433,448,18,0.04157043879907621,50,35,-0.0532200682259886,0.1034254133645921
bc_jackson2020_v2.csv,vessel_immune,spatial,0.002803163396293542,0.028031633962935416,435,428,19,0.04367816091954023,55,62,-0.0062723308533125,0.0053191352041244
bc_jackson2020_v2.csv,tumor_stroma_mixing,spatial,0.007930939858211262,0.07930939858211263,430,471,20,0.046511627906976744,49,8,-0.0224826110076108,0.0310282791210655
bc_jackson2020_v2.csv,cd8_clustering,spatial,0.005930944239496751,0.05930944239496751,380,419,18,0.04736842105263158,78,39,-0.04034030466194703,-0.007903731140965401
bc_metabric_ali2020_v2.csv,tumor_high,control,0.026036201884174062,0.2603620188417406,548,548,42,0.07664233576642336,0,0,0.579601328398702,0.579601328398702
bc_metabric_ali2020_v2.csv,cd8_high,control,0.007844627920370379,0.07844627920370378,548,548,78,0.14233576642335766,0,0,0.0137240956468424,0.0137240956468424
bc_metabric_ali2020_v2.csv,immune_exclusion,spatial,0.02454420036591702,0.24544200365917018,210,239,11,0.05238095238095238,33,4,-0.11895946412149624,0.08959560388885492
bc_metabric_ali2020_v2.csv,t_tumor_mixing,spatial,0.011974074339314637,0.11974074339314636,211,238,10,0.04739336492890995,31,4,-0.033514862952109974,0.051006932648784795
bc_metabric_ali2020_v2.csv,cd8_tumor_contact,spatial,0.011974074339314637,0.11974074339314636,211,230,11,0.052132701421800945,23,4,-0.033514862952109974,0.051006932648784795
bc_metabric_ali2020_v2.csv,macrophage_tumor_niche,spatial,0.010774436044416524,0.10774436044416523,206,228,10,0.04854368932038835,26,4,-0.0289335005174633,0.0442644529931101
bc_metabric_ali2020_v2.csv,apc_t_contact,spatial,0.003285223152931429,0.03285223152931429,206,219,9,0.043689320388349516,32,19,-0.0113640983883552,0.0029346918777232
bc_metabric_ali2020_v2.csv,tls_like,spatial,0.0037092456457489733,0.03709245645748973,338,382,21,0.0621301775147929,107,63,-0.0010463206579968017,0.004694745171759466
bc_metabric_ali2020_v2.csv,interface_immune,spatial,0.023588506642036655,0.23588506642036652,276,300,14,0.050724637681159424,27,3,-0.10479918623419684,0.11539904220899042
bc_metabric_ali2020_v2.csv,vessel_immune,spatial,0.0016565875398564687,0.016565875398564685,277,302,14,0.05054151624548736,41,16,-0.006648709818349967,0.0011319063211553942
bc_metabric_ali2020_v2.csv,tumor_stroma_mixing,spatial,0.006840284017056554,0.06840284017056554,327,349,14,0.04281345565749235,42,20,-0.010634290780731234,0.0274617604872816
bc_metabric_ali2020_v2.csv,cd8_clustering,spatial,0.0064379097856273396,0.0643790978562734,211,230,12,0.05687203791469194,27,8,-0.0335160033372937,0.0031991333615382284
hnc_wu2022_v2.csv,tumor_high,control,0.01473948267674822,0.1473948267674822,366,366,29,0.07923497267759563,0,0,0.4131595900513289,0.4131595900513289
hnc_wu2022_v2.csv,cd8_high,control,0.004484449039353549,0.04484449039353548,366,366,33,0.09016393442622951,0,0,0.0594771675729616,0.0594771675729616
hnc_wu2022_v2.csv,immune_exclusion,spatial,0.019405220596788203,0.19405220596788203,216,236,11,0.05092592592592592,25,5,-0.11051040001175022,0.018575640342327126
hnc_wu2022_v2.csv,t_tumor_mixing,spatial,0.009284355060508525,0.09284355060508524,238,248,12,0.05042016806722689,15,5,-0.02243941783387145,0.048498446799661254
hnc_wu2022_v2.csv,cd8_tumor_contact,spatial,0.009468452732500306,0.09468452732500304,232,243,12,0.05172413793103448,22,11,-0.017249436068125977,0.05187742592973215
hnc_wu2022_v2.csv,macrophage_tumor_niche,spatial,0.007739634605090594,0.07739634605090594,241,252,12,0.04979253112033195,24,13,-0.016431428303543202,0.04403636270107206
hnc_wu2022_v2.csv,granulocyte_tumor_niche,spatial,0.010483872825716849,0.10483872825716849,236,248,8,0.03389830508474576,21,9,-0.0312740705551285,0.0427070446323983
hnc_wu2022_v2.csv,apc_t_contact,spatial,0.004925645638913042,0.04925645638913041,250,261,10,0.04,33,22,-0.0137655965728803,0.004974318916428158
hnc_wu2022_v2.csv,tls_like,spatial,0.007991374321563058,0.07991374321563058,231,237,11,0.047619047619047616,33,27,-0.020562163094489033,0.004756735619140397
hnc_wu2022_v2.csv,interface_immune,spatial,0.014001133076768122,0.1400113307676812,220,247,11,0.05,32,5,-0.06754592237689601,0.06465895072752406
hnc_wu2022_v2.csv,vessel_immune,spatial,0.0008663257950423984,0.008663257950423983,244,249,11,0.045081967213114756,15,10,-0.0034276981812342666,0.0023231914619207326
hnc_wu2022_v2.csv,tumor_stroma_mixing,spatial,0.0019066242318858874,0.019066242318858874,213,240,12,0.056338028169014086,29,2,-0.006769227843454567,0.00613236924865223
hnc_wu2022_v2.csv,cd8_clustering,spatial,0.002671423340637566,0.026714233406375656,223,237,12,0.053811659192825115,24,10,-0.0162802592727142,0.0022412584957061886
tnbc_wang2023_v2.csv,tumor_high,control,0.024044553032187003,0.24044553032187002,766,766,51,0.06657963446475196,0,0,0.4505193043441398,0.4505193043441398
tnbc_wang2023_v2.csv,cd8_high,control,0.006599472930391474,0.06599472930391474,766,766,68,0.08877284595300261,0,0,0.03696997469665875,0.03696997469665875
tnbc_wang2023_v2.csv,immune_exclusion,spatial,0.02418720489470458,0.2418720489470458,405,459,20,0.04938271604938271,58,4,-0.1176370198530405,0.0964455341855984
tnbc_wang2023_v2.csv,t_tumor_mixing,spatial,0.010075606286104589,0.10075606286104588,440,479,22,0.05,49,10,-0.029063457303380804,0.039760504350223255
