task,model,class,feature,n_datasets,mean_abs_shap,median_abs_shap,mean_value_shap_spearman,dataset_direction_agreement
CLR_DII,logistic,1,tcn_fraction__4,1,0.0629850995679245,0.0629850995679245,-0.9999999999999999,1.0
CLR_DII,logistic,1,tcn_fraction__5,1,0.04454212903592959,0.04454212903592959,-0.25,1.0
CLR_DII,logistic,1,tcn_fraction__1,1,0.04447250165643082,0.04447250165643082,0.9999999999999998,1.0
CLR_DII,logistic,1,tcn_fraction__3,1,0.02656785932870287,0.02656785932870287,-2.7755575615628914e-17,1.0
CLR_DII,logistic,1,tcn_fraction__2,1,0.02307433861739588,0.02307433861739588,-0.09090909090909087,1.0
ER_status,logistic,1,tcn_fraction__5,1,0.18901249832728942,0.18901249832728942,-1.0,1.0
ER_status,logistic,1,tcn_fraction__4,1,0.12647306123297428,0.12647306123297428,1.0,1.0
ER_status,logistic,1,tcn_fraction__2,1,0.08574370095166964,0.08574370095166964,-1.0,1.0
ER_status,logistic,1,tcn_fraction__3,1,0.015148019957127614,0.015148019957127614,1.0,1.0
ER_status,logistic,1,tcn_fraction__1,1,0.015022899081348472,0.015022899081348472,1.0,1.0
clinical_type,logistic,HR+HER2+,tcn_fraction__5,1,0.11660764044819186,0.11660764044819186,-1.0,1.0
clinical_type,logistic,HR+HER2+,tcn_fraction__1,1,0.060724777345562544,0.060724777345562544,1.0,1.0
clinical_type,logistic,HR+HER2+,tcn_fraction__3,1,0.057447413021777353,0.057447413021777353,-1.0,1.0
clinical_type,logistic,HR+HER2+,tcn_fraction__4,1,0.02501414285115375,0.02501414285115375,1.0,1.0
clinical_type,logistic,HR+HER2+,tcn_fraction__2,1,0.011394834276744375,0.011394834276744375,1.0,1.0
clinical_type,logistic,HR+HER2-,tcn_fraction__5,1,0.056105849552353294,0.056105849552353294,1.0,1.0
clinical_type,logistic,HR+HER2-,tcn_fraction__3,1,0.020619207063974587,0.020619207063974587,-0.8333333333333334,1.0
clinical_type,logistic,HR+HER2-,tcn_fraction__4,1,0.018269033710773305,0.018269033710773305,0.6363636363636362,1.0
clinical_type,logistic,HR+HER2-,tcn_fraction__1,1,0.006133667290131956,0.006133667290131956,-0.9999999999999999,1.0
clinical_type,logistic,HR+HER2-,tcn_fraction__2,1,0.001983771580121915,0.001983771580121915,0.3333333333333333,1.0
clinical_type,logistic,HR-HER2+,tcn_fraction__3,1,0.15388869989154147,0.15388869989154147,1.0,1.0
clinical_type,logistic,HR-HER2+,tcn_fraction__1,1,0.15140513570898853,0.15140513570898853,-1.0,1.0
clinical_type,logistic,HR-HER2+,tcn_fraction__2,1,0.06460760827655067,0.06460760827655067,1.0,1.0
clinical_type,logistic,HR-HER2+,tcn_fraction__5,1,0.049188851073047345,0.049188851073047345,-1.0,1.0
clinical_type,logistic,HR-HER2+,tcn_fraction__4,1,0.008289944330002613,0.008289944330002613,-0.2,1.0
clinical_type,logistic,TripleNeg,tcn_fraction__4,1,0.13690427201427663,0.13690427201427663,-0.9999999999999999,1.0
clinical_type,logistic,TripleNeg,tcn_fraction__2,1,0.06976764091269815,0.06976764091269815,-1.0,1.0
clinical_type,logistic,TripleNeg,tcn_fraction__3,1,0.03544131155520989,0.03544131155520989,0.8181818181818182,1.0
clinical_type,logistic,TripleNeg,tcn_fraction__5,1,0.03508276118987523,0.03508276118987523,1.0,1.0
clinical_type,logistic,TripleNeg,tcn_fraction__1,1,0.009903542488866221,0.009903542488866221,1.0,1.0
hpv_status,logistic,1,tcn_fraction__2,1,0.13209078737602542,0.13209078737602542,-1.0,1.0
hpv_status,logistic,1,tcn_fraction__4,1,0.12208325518480752,0.12208325518480752,1.0,1.0
hpv_status,logistic,1,tcn_fraction__3,1,0.0493143275768054,0.0493143275768054,1.0,1.0
hpv_status,logistic,1,tcn_fraction__1,1,0.0252939564352278,0.0252939564352278,-1.0,1.0
hpv_status,logistic,1,tcn_fraction__5,1,0.021293043358199794,0.021293043358199794,-0.33333333333333326,1.0
immunotherapy_response,logistic,1,tcn_fraction__5,2,0.2801874414564506,0.2801874414564506,1.0,1.0
immunotherapy_response,logistic,1,tcn_fraction__3,2,0.16733261564748345,0.16733261564748345,-1.0,1.0
immunotherapy_response,logistic,1,tcn_fraction__1,2,0.1479620186496588,0.1479620186496588,-0.8888888888888888,1.0
immunotherapy_response,logistic,1,tcn_fraction__2,2,0.11150540196422938,0.11150540196422938,-0.09999999999999998,0.5
immunotherapy_response,logistic,1,tcn_fraction__4,2,0.039006442137781365,0.039006442137781365,0.875,1.0
pCR_all,logistic,1,tcn_fraction__5,1,0.1118112375087704,0.1118112375087704,1.0,1.0
pCR_all,logistic,1,tcn_fraction__1,1,0.06324506839011138,0.06324506839011138,-1.0,1.0
pCR_all,logistic,1,tcn_fraction__3,1,0.05530567433877239,0.05530567433877239,-1.0,1.0
pCR_all,logistic,1,tcn_fraction__4,1,0.03313201813439629,0.03313201813439629,0.9999999999999999,1.0
pCR_all,logistic,1,tcn_fraction__2,1,0.0029459234249099393,0.0029459234249099393,1.0,1.0
pCR_arm_C,logistic,1,tcn_fraction__4,1,0.13022557195651502,0.13022557195651502,1.0,1.0
pCR_arm_C,logistic,1,tcn_fraction__3,1,0.0377140806472388,0.0377140806472388,-1.0,1.0
pCR_arm_C,logistic,1,tcn_fraction__5,1,0.036628887879290105,0.036628887879290105,-0.4,1.0
pCR_arm_C,logistic,1,tcn_fraction__1,1,0.02018878116466768,0.02018878116466768,0.19999999999999998,1.0
pCR_arm_C,logistic,1,tcn_fraction__2,1,0.015227441971287094,0.015227441971287094,0.24999999999999997,1.0
pCR_arm_CI,logistic,1,tcn_fraction__5,1,0.32006081502509837,0.32006081502509837,1.0,1.0
pCR_arm_CI,logistic,1,tcn_fraction__1,1,0.0740391957462609,0.0740391957462609,-1.0,1.0
pCR_arm_CI,logistic,1,tcn_fraction__2,1,0.05796025366604615,0.05796025366604615,0.8181818181818182,1.0
pCR_arm_CI,logistic,1,tcn_fraction__3,1,0.03403251082450716,0.03403251082450716,-1.0,1.0
pCR_arm_CI,logistic,1,tcn_fraction__4,1,0.009534046851660379,0.009534046851660379,-0.42857142857142855,1.0
primary_outcome,logistic,1,tcn_fraction__4,2,0.1222546510924895,0.1222546510924895,0.0,0.5
primary_outcome,logistic,1,tcn_fraction__3,2,0.08210878950902628,0.08210878950902628,0.0,0.5
primary_outcome,logistic,1,tcn_fraction__2,2,0.050045709271480915,0.050045709271480915,-0.9230769230769231,1.0
primary_outcome,logistic,1,tcn_fraction__1,2,0.026891458264279487,0.026891458264279487,0.6666666666666666,1.0
primary_outcome,logistic,1,tcn_fraction__5,2,0.02613571191983375,0.02613571191983375,0.4090909090909091,0.5
progression,logistic,1,tcn_fraction__2,1,0.19432404574649143,0.19432404574649143,-1.0,1.0
progression,logistic,1,tcn_fraction__1,1,0.0610562752001125,0.0610562752001125,-0.6666666666666666,1.0
progression,logistic,1,tcn_fraction__3,1,0.04241750464590655,0.04241750464590655,1.0,1.0
progression,logistic,1,tcn_fraction__5,1,0.026235625520221444,0.026235625520221444,0.8181818181818182,1.0
progression,logistic,1,tcn_fraction__4,1,0.019231720614796673,0.019231720614796673,0.42857142857142855,1.0
response,logistic,1,tcn_fraction__3,1,0.16994310136865823,0.16994310136865823,-1.0,1.0
response,logistic,1,tcn_fraction__2,1,0.04221796406647461,0.04221796406647461,-0.8333333333333334,1.0
response,logistic,1,tcn_fraction__1,1,0.01871030408395863,0.01871030408395863,0.42857142857142855,1.0
response,logistic,1,tcn_fraction__4,1,0.01672554584826791,0.01672554584826791,1.0,1.0
response,logistic,1,tcn_fraction__5,1,0.013283695675153884,0.013283695675153884,0.7142857142857143,1.0
stage_binary,logistic,1,tcn_fraction__2,1,0.084828740359384,0.084828740359384,1.0,1.0
stage_binary,logistic,1,tcn_fraction__5,1,0.03818024660737844,0.03818024660737844,1.0,1.0
stage_binary,logistic,1,tcn_fraction__3,1,0.038040982614651254,0.038040982614651254,-1.0,1.0
stage_binary,logistic,1,tcn_fraction__1,1,0.01670659376375768,0.01670659376375768,-1.0,1.0
stage_binary,logistic,1,tcn_fraction__4,1,0.004674447774981894,0.004674447774981894,-0.6,1.0
