dataset,task,model,class,feature,mean_abs_shap,sd_abs_shap,mean_shap,value_shap_spearman,top_fold_frequency,n_fold_models,n_explained_regions,direction_consistency,direction
bc_jackson2020,clinical_type,logistic,HR+HER2+,tcn_fraction__5,0.11660764044819186,0.080428996087583,-0.005789134303514706,-1.0,1.0,15,1110,1.0,higher value decreases prediction
bc_jackson2020,clinical_type,logistic,HR+HER2+,tcn_fraction__1,0.060724777345562544,0.06686764969401535,-0.003607312967707238,1.0,1.0,15,1110,1.0,higher value increases prediction
bc_jackson2020,clinical_type,logistic,HR+HER2+,tcn_fraction__3,0.057447413021777353,0.047540390642272015,0.0038782433225445184,-1.0,1.0,15,1110,1.0,higher value decreases prediction
bc_jackson2020,clinical_type,logistic,HR+HER2+,tcn_fraction__4,0.02501414285115375,0.041050221131051404,0.0033340157409305557,1.0,1.0,15,1110,1.0,higher value increases prediction
bc_jackson2020,clinical_type,logistic,HR+HER2+,tcn_fraction__2,0.011394834276744375,0.027653208001776276,0.0011200414920115036,1.0,1.0,15,1110,1.0,higher value increases prediction
bc_jackson2020,clinical_type,logistic,HR+HER2-,tcn_fraction__5,0.056105849552353294,0.052007060843733986,-0.002017805919317368,1.0,1.0,15,1110,1.0,higher value increases prediction
bc_jackson2020,clinical_type,logistic,HR+HER2-,tcn_fraction__3,0.020619207063974587,0.022058934462404076,-0.0017866370607507248,-0.8333333333333334,1.0,15,1110,0.9166666666666666,higher value decreases prediction
bc_jackson2020,clinical_type,logistic,HR+HER2-,tcn_fraction__4,0.018269033710773305,0.03054567423974902,-0.002366160875712608,0.6363636363636362,1.0,15,1110,0.8181818181818182,higher value increases prediction
bc_jackson2020,clinical_type,logistic,HR+HER2-,tcn_fraction__1,0.006133667290131956,0.012812104807754262,0.0009242861766080301,-0.9999999999999999,1.0,15,1110,1.0,higher value decreases prediction
bc_jackson2020,clinical_type,logistic,HR+HER2-,tcn_fraction__2,0.001983771580121915,0.00558383363789042,3.98528698555949e-06,0.3333333333333333,1.0,15,1110,0.6666666666666666,higher value increases prediction
bc_jackson2020,clinical_type,logistic,HR-HER2+,tcn_fraction__3,0.15388869989154147,0.055469502204603484,0.00444168051060025,1.0,1.0,15,1110,1.0,higher value increases prediction
bc_jackson2020,clinical_type,logistic,HR-HER2+,tcn_fraction__1,0.15140513570898853,0.07252902792625844,-0.0017010290208048927,-1.0,1.0,15,1110,1.0,higher value decreases prediction
bc_jackson2020,clinical_type,logistic,HR-HER2+,tcn_fraction__2,0.06460760827655067,0.089402657327368,0.009151322154453979,1.0,1.0,15,1110,1.0,higher value increases prediction
bc_jackson2020,clinical_type,logistic,HR-HER2+,tcn_fraction__5,0.049188851073047345,0.07282799291551192,0.0046207309075192975,-1.0,1.0,15,1110,1.0,higher value decreases prediction
bc_jackson2020,clinical_type,logistic,HR-HER2+,tcn_fraction__4,0.008289944330002613,0.013002847347099646,-0.00017818116191965847,-0.2,1.0,15,1110,0.6,higher value decreases prediction
bc_jackson2020,clinical_type,logistic,TripleNeg,tcn_fraction__4,0.13690427201427663,0.09433303556742523,-0.007965056550735622,-0.9999999999999999,1.0,15,1110,1.0,higher value decreases prediction
bc_jackson2020,clinical_type,logistic,TripleNeg,tcn_fraction__2,0.06976764091269815,0.05829462416606228,-0.0007714277076852752,-1.0,1.0,15,1110,1.0,higher value decreases prediction
bc_jackson2020,clinical_type,logistic,TripleNeg,tcn_fraction__3,0.03544131155520989,0.039423516964534874,-0.003230751326242454,0.8181818181818182,1.0,15,1110,0.9090909090909091,higher value increases prediction
bc_jackson2020,clinical_type,logistic,TripleNeg,tcn_fraction__5,0.03508276118987523,0.031778940047188814,-0.001104118225389964,1.0,1.0,15,1110,1.0,higher value increases prediction
bc_jackson2020,clinical_type,logistic,TripleNeg,tcn_fraction__1,0.009903542488866221,0.021395066119900347,-0.0006574643672308866,1.0,1.0,15,1110,1.0,higher value increases prediction
bc_jackson2020,response,logistic,1,tcn_fraction__3,0.16994310136865823,0.05581380613969697,0.003081784069258531,-1.0,1.0,15,657,1.0,higher value decreases prediction
bc_jackson2020,response,logistic,1,tcn_fraction__2,0.04221796406647461,0.038566599897817654,0.0017789216674499967,-0.8333333333333334,1.0,15,657,0.9166666666666666,higher value decreases prediction
bc_jackson2020,response,logistic,1,tcn_fraction__1,0.01871030408395863,0.03480132603001316,-0.002921047282094623,0.42857142857142855,1.0,15,657,0.7142857142857143,higher value increases prediction
bc_jackson2020,response,logistic,1,tcn_fraction__4,0.01672554584826791,0.024076934075266124,-0.0021744909112042243,1.0,1.0,15,657,1.0,higher value increases prediction
bc_jackson2020,response,logistic,1,tcn_fraction__5,0.013283695675153884,0.02238703066541814,0.001983059144626783,0.7142857142857143,1.0,15,657,0.8571428571428571,higher value increases prediction
bc_metabric_ali2020,ER_status,logistic,1,tcn_fraction__5,0.18901249832728942,0.04146482571535455,-0.002026725894413641,-1.0,1.0,15,1554,1.0,higher value decreases prediction
bc_metabric_ali2020,ER_status,logistic,1,tcn_fraction__4,0.12647306123297428,0.043260899624919365,0.0004089211105857827,1.0,1.0,15,1554,1.0,higher value increases prediction
bc_metabric_ali2020,ER_status,logistic,1,tcn_fraction__2,0.08574370095166964,0.033800957302111724,0.00039094929328812054,-1.0,1.0,15,1554,1.0,higher value decreases prediction
bc_metabric_ali2020,ER_status,logistic,1,tcn_fraction__3,0.015148019957127614,0.027304425577630947,-0.000263183609655089,1.0,1.0,15,1554,1.0,higher value increases prediction
bc_metabric_ali2020,ER_status,logistic,1,tcn_fraction__1,0.015022899081348472,0.023310579204792608,0.0012340173623024287,1.0,1.0,15,1554,1.0,higher value increases prediction
crc_schurch2020,CLR_DII,logistic,1,tcn_fraction__4,0.0629850995679245,0.08823461741185956,0.0018803094025467602,-0.9999999999999999,1.0,15,420,1.0,higher value decreases prediction
crc_schurch2020,CLR_DII,logistic,1,tcn_fraction__5,0.04454212903592959,0.07620485247955319,-0.0029612472956660678,-0.25,1.0,15,420,0.625,higher value decreases prediction
crc_schurch2020,CLR_DII,logistic,1,tcn_fraction__1,0.04447250165643082,0.050170339638216564,-0.0025468002187166864,0.9999999999999998,1.0,15,420,1.0,higher value increases prediction
crc_schurch2020,CLR_DII,logistic,1,tcn_fraction__3,0.02656785932870287,0.049812741683401954,-0.008855983910096125,-2.7755575615628914e-17,1.0,15,420,0.5,higher value decreases prediction
crc_schurch2020,CLR_DII,logistic,1,tcn_fraction__2,0.02307433861739588,0.027038714626647378,7.120644547374824e-05,-0.09090909090909087,1.0,15,420,0.5454545454545454,higher value decreases prediction
crc_wu2022,primary_outcome,logistic,1,tcn_fraction__4,0.12841818642696853,0.05279210298664453,-0.0016113719895062295,-1.0,1.0,15,588,1.0,higher value decreases prediction
crc_wu2022,primary_outcome,logistic,1,tcn_fraction__2,0.0621724063424725,0.09569871812434755,-0.000721642083254187,-0.8461538461538461,1.0,15,588,0.9230769230769231,higher value decreases prediction
crc_wu2022,primary_outcome,logistic,1,tcn_fraction__3,0.060521596633153034,0.048516922315993444,-0.017263095429375833,1.0,1.0,15,588,1.0,higher value increases prediction
crc_wu2022,primary_outcome,logistic,1,tcn_fraction__5,0.040439047516842665,0.042393870733680394,0.0024982686355024208,0.8181818181818182,1.0,15,588,0.9090909090909091,higher value increases prediction
crc_wu2022,primary_outcome,logistic,1,tcn_fraction__1,0.014847443281520874,0.03219911448175512,-0.0008776340788583646,0.3333333333333333,1.0,15,588,0.6666666666666666,higher value increases prediction
hnc_wu2022,hpv_status,logistic,1,tcn_fraction__2,0.13209078737602542,0.06436634203471635,0.002118621702379364,-1.0,1.0,15,924,1.0,higher value decreases prediction
hnc_wu2022,hpv_status,logistic,1,tcn_fraction__4,0.12208325518480752,0.04499134436106232,-0.0033094670045793056,1.0,1.0,15,924,1.0,higher value increases prediction
hnc_wu2022,hpv_status,logistic,1,tcn_fraction__3,0.0493143275768054,0.06507798211625619,0.009600146672735862,1.0,1.0,15,924,1.0,higher value increases prediction
hnc_wu2022,hpv_status,logistic,1,tcn_fraction__1,0.0252939564352278,0.035308427500956516,-0.003003109923130136,-1.0,1.0,15,924,1.0,higher value decreases prediction
hnc_wu2022,hpv_status,logistic,1,tcn_fraction__5,0.021293043358199794,0.03194061532505871,0.0038396994861151393,-0.33333333333333326,1.0,15,924,0.6666666666666666,higher value decreases prediction
hnc_wu2022,primary_outcome,logistic,1,tcn_fraction__4,0.11609111575801045,0.04674017635977757,-0.0015046935550385332,1.0,1.0,15,924,1.0,higher value increases prediction
hnc_wu2022,primary_outcome,logistic,1,tcn_fraction__3,0.10369598238489952,0.032562436936835394,-0.0010212722756751105,-1.0,1.0,15,924,1.0,higher value decreases prediction
hnc_wu2022,primary_outcome,logistic,1,tcn_fraction__1,0.038935473247038103,0.0308337005339867,0.0007137156463652185,1.0,1.0,15,924,1.0,higher value increases prediction
hnc_wu2022,primary_outcome,logistic,1,tcn_fraction__2,0.03791901220048933,0.04560872749991641,-0.002445576260259806,-1.0,1.0,15,924,1.0,higher value decreases prediction
hnc_wu2022,primary_outcome,logistic,1,tcn_fraction__5,0.011832376322824833,0.016379441394968115,-0.00019258233611981504,-1.850371707708594e-17,1.0,15,924,0.5,higher value decreases prediction
luad_sorin2023,progression,logistic,1,tcn_fraction__2,0.19432404574649143,0.08236233055361922,0.006690193069871233,-1.0,1.0,15,1212,1.0,higher value decreases prediction
luad_sorin2023,progression,logistic,1,tcn_fraction__1,0.0610562752001125,0.06484923708928064,-0.0002708098849272765,-0.6666666666666666,1.0,15,1212,0.8333333333333334,higher value decreases prediction
luad_sorin2023,progression,logistic,1,tcn_fraction__3,0.04241750464590655,0.055186349488004424,-0.0002559594134776364,1.0,1.0,15,1212,1.0,higher value increases prediction
luad_sorin2023,progression,logistic,1,tcn_fraction__5,0.026235625520221444,0.029872492040533834,0.00017437334271420702,0.8181818181818182,1.0,15,1212,0.9090909090909091,higher value increases prediction
luad_sorin2023,progression,logistic,1,tcn_fraction__4,0.019231720614796673,0.025714000614513788,-0.0019973658588833066,0.42857142857142855,1.0,15,1212,0.7142857142857143,higher value increases prediction
nsclc_aung2025,immunotherapy_response,logistic,1,tcn_fraction__5,0.36273384385762597,0.5048658220899599,0.03703263464435457,1.0,1.0,15,96,1.0,higher value increases prediction
nsclc_aung2025,immunotherapy_response,logistic,1,tcn_fraction__3,0.24060606775330112,0.49339179333000094,-0.15753702051193313,-1.0,1.0,15,96,1.0,higher value decreases prediction
nsclc_aung2025,immunotherapy_response,logistic,1,tcn_fraction__2,0.11281135185991159,0.12535383758191362,0.013779861255604898,-1.0,1.0,15,96,1.0,higher value decreases prediction
nsclc_aung2025,immunotherapy_response,logistic,1,tcn_fraction__1,0.07787499458465061,0.11519161603412453,-0.013014930910572386,-0.7777777777777778,1.0,15,96,0.8888888888888888,higher value decreases prediction
nsclc_aung2025,immunotherapy_response,logistic,1,tcn_fraction__4,0.04605545726878318,0.07152166540601372,-0.017624826412645553,0.75,1.0,15,96,0.875,higher value increases prediction
nsclc_gnn_hoebel2026,stage_binary,logistic,1,tcn_fraction__2,0.084828740359384,0.023502563544281593,-0.0012307424134469897,1.0,1.0,15,3000,1.0,higher value increases prediction
nsclc_gnn_hoebel2026,stage_binary,logistic,1,tcn_fraction__5,0.03818024660737844,0.021955580994006782,-0.0003969422963176005,1.0,1.0,15,3000,1.0,higher value increases prediction
nsclc_gnn_hoebel2026,stage_binary,logistic,1,tcn_fraction__3,0.038040982614651254,0.019553768581335958,3.320279903651947e-05,-1.0,1.0,15,3000,1.0,higher value decreases prediction
nsclc_gnn_hoebel2026,stage_binary,logistic,1,tcn_fraction__1,0.01670659376375768,0.014917075592055053,-0.00025825092222748184,-1.0,1.0,15,3000,1.0,higher value decreases prediction
nsclc_gnn_hoebel2026,stage_binary,logistic,1,tcn_fraction__4,0.004674447774981894,0.007437276387260442,-0.0004048515336119631,-0.6,1.0,15,3000,0.8,higher value decreases prediction
nsclc_ici_monkman2024,immunotherapy_response,logistic,1,tcn_fraction__1,0.218049042714667,0.24957993902510184,-0.05585119221972303,-1.0,1.0,15,105,1.0,higher value decreases prediction
nsclc_ici_monkman2024,immunotherapy_response,logistic,1,tcn_fraction__5,0.19764103905527525,0.2359947212389324,-0.014687756279447833,1.0,1.0,15,105,1.0,higher value increases prediction
nsclc_ici_monkman2024,immunotherapy_response,logistic,1,tcn_fraction__2,0.11019945206854717,0.10427915537470789,-0.02335719590672496,0.8,1.0,15,105,0.9,higher value increases prediction
nsclc_ici_monkman2024,immunotherapy_response,logistic,1,tcn_fraction__3,0.09405916354166578,0.1205123246522135,0.009958338954193647,-1.0,1.0,15,105,1.0,higher value decreases prediction
nsclc_ici_monkman2024,immunotherapy_response,logistic,1,tcn_fraction__4,0.03195742700677955,0.11783731944870367,-0.027148520097882323,1.0,1.0,15,105,1.0,higher value increases prediction
