dataset,task,model,class,seed,fold,feature,mean_abs_shap,mean_shap,value_shap_spearman,top_feature,n_explained_regions
bc_jackson2020,response,logistic,1,0,0,tcn_fraction__1,0.03354919741964122,-0.01349064156056658,0.9999999999999999,True,40
bc_jackson2020,response,logistic,1,0,0,tcn_fraction__2,0.01596587931795121,0.0033211681247705105,-0.9999999999999999,True,40
bc_jackson2020,response,logistic,1,0,0,tcn_fraction__3,0.1798584699998591,-0.10769598148023767,-0.9999999999999999,True,40
bc_jackson2020,response,logistic,1,0,0,tcn_fraction__4,0.0,0.0,,True,40
bc_jackson2020,response,logistic,1,0,0,tcn_fraction__5,0.013778712529987133,0.0020591434237991753,1.0,True,40
bc_jackson2020,response,logistic,1,0,1,tcn_fraction__1,0.015058199424689238,-0.0035899059785303214,1.0,True,42
bc_jackson2020,response,logistic,1,0,1,tcn_fraction__2,0.06424334295073243,-0.019302455276565197,-1.0,True,42
bc_jackson2020,response,logistic,1,0,1,tcn_fraction__3,0.11889246195076819,0.07537410194124314,-1.0,True,42
bc_jackson2020,response,logistic,1,0,1,tcn_fraction__4,0.0,0.0,,True,42
bc_jackson2020,response,logistic,1,0,1,tcn_fraction__5,0.0,0.0,,True,42
bc_jackson2020,response,logistic,1,0,2,tcn_fraction__1,0.00714716832279442,0.0010167886857667383,-0.9999999999999999,True,44
bc_jackson2020,response,logistic,1,0,2,tcn_fraction__2,0.0,0.0,,True,44
bc_jackson2020,response,logistic,1,0,2,tcn_fraction__3,0.2409451336663375,-0.04799625328444645,-1.0,True,44
bc_jackson2020,response,logistic,1,0,2,tcn_fraction__4,0.06500054966942584,-0.002047689377759945,1.0,True,44
bc_jackson2020,response,logistic,1,0,2,tcn_fraction__5,0.0,0.0,,True,44
bc_jackson2020,response,logistic,1,0,3,tcn_fraction__1,0.0,0.0,,True,45
bc_jackson2020,response,logistic,1,0,3,tcn_fraction__2,0.13859587693622985,0.03687540219449791,-0.9999999999999999,True,45
bc_jackson2020,response,logistic,1,0,3,tcn_fraction__3,0.2652021413778013,0.08126465389206644,-1.0,True,45
bc_jackson2020,response,logistic,1,0,3,tcn_fraction__4,0.013892427522167954,0.003991665698844342,0.9999999999999999,True,45
bc_jackson2020,response,logistic,1,0,3,tcn_fraction__5,0.004105549841880275,0.00035226179727369355,1.0,True,45
bc_jackson2020,response,logistic,1,0,4,tcn_fraction__1,0.0,0.0,,True,48
bc_jackson2020,response,logistic,1,0,4,tcn_fraction__2,0.0,0.0,,True,48
