task,scheme,model,class,feature,n_datasets,mean_abs_shap,median_abs_shap,mean_value_shap_spearman,dataset_direction_agreement
CLR_DII,cv,logistic,1,tcn_fraction__4,1,0.062988022065542,0.062988022065542,-0.9999999999999999,1.0
CLR_DII,cv,logistic,1,tcn_fraction__5,1,0.0445421245999624,0.0445421245999624,-0.25,1.0
CLR_DII,cv,logistic,1,tcn_fraction__1,1,0.04447168210676022,0.04447168210676022,0.9999999999999998,1.0
CLR_DII,cv,logistic,1,tcn_fraction__3,1,0.026567909549951953,0.026567909549951953,-2.7755575615628914e-17,1.0
CLR_DII,cv,logistic,1,tcn_fraction__2,1,0.02307713457587648,0.02307713457587648,-0.09090909090909087,1.0
DSS,cv,cox,risk,tcn_fraction__2,1,0.059268124356014855,0.059268124356014855,-1.0,1.0
DSS,cv,cox,risk,tcn_fraction__5,1,0.044577831266749884,0.044577831266749884,1.0,1.0
DSS,cv,cox,risk,tcn_fraction__3,1,0.02827252249694335,0.02827252249694335,0.6,1.0
DSS,cv,cox,risk,tcn_fraction__4,1,0.02379941320435133,0.02379941320435133,-0.7333333333333333,1.0
DSS,cv,cox,risk,tcn_fraction__1,1,0.016097548897424853,0.016097548897424853,0.4666666666666667,1.0
ER_status,cv,logistic,1,tcn_fraction__5,1,0.18901325228225724,0.18901325228225724,-1.0,1.0
ER_status,cv,logistic,1,tcn_fraction__4,1,0.12646840207931848,0.12646840207931848,1.0,1.0
ER_status,cv,logistic,1,tcn_fraction__2,1,0.08573924199432831,0.08573924199432831,-1.0,1.0
ER_status,cv,logistic,1,tcn_fraction__3,1,0.015146840889564053,0.015146840889564053,1.0,1.0
ER_status,cv,logistic,1,tcn_fraction__1,1,0.015021781698194773,0.015021781698194773,1.0,1.0
OS,cv,cox,risk,tcn_fraction__3,4,0.04490766284123737,0.028230784621403937,-0.13333333333333336,0.5
OS,cv,cox,risk,tcn_fraction__4,4,0.03821231605430944,0.020393538049087705,-0.16666666666666669,0.5
OS,cv,cox,risk,tcn_fraction__2,4,0.0372383478986868,0.03380524678886662,0.4666666666666667,0.75
OS,cv,cox,risk,tcn_fraction__5,4,0.031822174460101646,0.0399801371858357,0.13333333333333333,0.5
OS,cv,cox,risk,tcn_fraction__1,4,0.0234946003660265,0.020193642883388003,-0.5666666666666667,1.0
clinical_type,Basel_to_Zurich,logistic,HR+HER2+,tcn_fraction__5,1,0.12551205870310367,0.12551205870310367,-1.0,1.0
clinical_type,Basel_to_Zurich,logistic,HR+HER2+,tcn_fraction__3,1,0.07340997505874715,0.07340997505874715,-1.0,1.0
clinical_type,Basel_to_Zurich,logistic,HR+HER2+,tcn_fraction__1,1,0.06300970242676135,0.06300970242676135,1.0,1.0
clinical_type,Basel_to_Zurich,logistic,HR+HER2+,tcn_fraction__2,1,0.0,0.0,,
clinical_type,Basel_to_Zurich,logistic,HR+HER2+,tcn_fraction__4,1,0.0,0.0,,
clinical_type,Basel_to_Zurich,logistic,HR+HER2-,tcn_fraction__5,1,0.054634184354980374,0.054634184354980374,1.0,1.0
clinical_type,Basel_to_Zurich,logistic,HR+HER2-,tcn_fraction__3,1,0.008484179622908126,0.008484179622908126,-1.0,1.0
