analysis,method,dataset,task,scheme,model,class,feature_id,feature,top_enriched_celltypes,top_abundant_celltypes,tcn_n_cells,mean_abs_shap,sd_abs_shap,mean_shap,value_shap_spearman,top_fold_frequency,direction_consistency,direction
SHAP,CytoCommunity,nsclc_aung2025,immunotherapy_response,Yale_to_YaleExt,logistic,1,tcn_fraction__5,TCN5: DC/B-cell/M1-enriched tumor niche,"DCs (4.4%,3.0x); B_Cells (5.4%,1.9x); M1_mac (7.5%,1.5x); Ki67 (4.4%,1.2x); Cytotoxic CD8 (0.8%,1.2x)",Tumour (31.9%); Stroma (11.8%); M2_mac (11.6%); Vessels (9.0%); M1_mac (7.5%),29831,0.3844931694473299,1.247296646119926e-05,-0.1517932899942257,1.0,1.0,1.0,higher value increases prediction
SHAP,CytoCommunity,nsclc_aung2025,immunotherapy_response,Yale_to_UQ,logistic,1,tcn_fraction__5,TCN5: DC/B-cell/M1-enriched tumor niche,"DCs (4.4%,3.0x); B_Cells (5.4%,1.9x); M1_mac (7.5%,1.5x); Ki67 (4.4%,1.2x); Cytotoxic CD8 (0.8%,1.2x)",Tumour (31.9%); Stroma (11.8%); M2_mac (11.6%); Vessels (9.0%); M1_mac (7.5%),29831,0.2861458999479609,9.282578981095232e-06,-0.2008657108480989,0.9999999999999996,1.0,1.0,higher value increases prediction
SHAP,CytoCommunity,hnc_wu2022,primary_outcome,UPMC_to_DFCI,logistic,1,tcn_fraction__4,TCN4: dendritic/NK–proliferative tumor niche,"Unknown (TCF1+) (0.2%,2.1x); Dendritic cell (0.2%,2.0x); NK cell (0.1%,1.3x); Lymph vessel (0.7%,1.2x); Naive lymphocyte (CD45RA+/CD38+) (0.5%,1.2x)",Tumor (Ki67+) (12.1%); Macrophage (9.6%); Tumor (9.4%); CD4 T cell (8.5%); CD8 T cell (7.6%),416734,0.2594729449321762,7.581842581835823e-05,-0.1070726785614042,1.0,1.0,1.0,higher value increases prediction
SHAP,CytoCommunity,bc_jackson2020,clinical_type,Basel_to_Zurich,logistic,HR-HER2+,tcn_fraction__3,TCN3: proliferative/p53+ tumor–macrophage niche,"Tumor (CK lo HR hi p53+) (1.9%,2.3x); Tumor (Proliferative) (5.3%,1.3x); Tumor (CK7+ CK hi Ecadh hi) (4.1%,1.2x); Tumor (CK lo HR lo) (11.3%,1.2x); Macrophage (3.4%,1.1x)",Tumor (CK lo HR lo) (11.3%); T cell (9.9%); Stroma (Small elongated) (9.8%); Stroma (Vimentin hi) (7.8%); Tumor (CK+ HR lo) (5.6%),229113,0.2114739651223377,0.0104311537475999,0.0329376770894235,1.0,1.0,1.0,higher value increases prediction
SHAP,CytoCommunity,bc_metabric_ali2020,ER_status,cv,logistic,1,tcn_fraction__5,TCN5: Ki67+ HR- tumor–T/B immune niche,"HR- Ki67+ (4.9%,1.7x); B cells (0.9%,1.2x); Macrophages Vim+ Slug- (1.8%,1.1x); T cells (5.2%,1.1x); Endothelial (0.9%,1.1x)",HR+ CK7- (27.0%); Myofibroblasts (14.1%); Fibroblasts (11.9%); HR- CK7- (8.4%); HR- CK7+ (6.5%),52709,0.1890132522822572,0.0414626898127714,-0.0020271707545857,-1.0,1.0,1.0,higher value decreases prediction
SHAP,CytoCommunity,bc_jackson2020,clinical_type,Basel_to_Zurich,logistic,TripleNeg,tcn_fraction__4,TCN4: CK7+/apoptotic tumor–B-cell niche,"Tumor (CK7+) (5.2%,1.3x); Tumor (Apoptotic) (2.6%,1.3x); Tumor (Myoepithelial) (2.2%,1.1x); Tumor (CK7+ CK hi Ecadh hi) (3.8%,1.1x); B cell (3.5%,1.1x)",T cell (11.1%); Stroma (Small elongated) (10.0%); Tumor (CK lo HR lo) (9.3%); Stroma (Vimentin hi) (7.6%); Tumor (CK+ HR lo) (6.3%),188493,0.1887854091917913,0.0066125284919972,0.0119546426386265,-1.0,1.0,1.0,higher value decreases prediction
SHAP,CytoCommunity,bc_jackson2020,response,cv,logistic,1,tcn_fraction__3,TCN3: proliferative/p53+ tumor–macrophage niche,"Tumor (CK lo HR hi p53+) (1.9%,2.3x); Tumor (Proliferative) (5.3%,1.3x); Tumor (CK7+ CK hi Ecadh hi) (4.1%,1.2x); Tumor (CK lo HR lo) (11.3%,1.2x); Macrophage (3.4%,1.1x)",Tumor (CK lo HR lo) (11.3%); T cell (9.9%); Stroma (Small elongated) (9.8%); Stroma (Vimentin hi) (7.8%); Tumor (CK+ HR lo) (5.6%),229113,0.1699464901787879,0.0558136860761969,0.0030835262622309,-1.0,1.0,1.0,higher value decreases prediction
SHAP,CytoCommunity,hnc_wu2022,hpv_status,cv,logistic,1,tcn_fraction__2,TCN2: PanCK-low tumor–stroma / Treg-like niche,"Tumor (PanCK low) (1.0%,1.5x); Stroma (0.3%,1.3x); T cell (CD45RO+/FoxP3+/ICOS+) (0.6%,1.2x); APC/macrophage (0.1%,1.2x); CD4 T cell (ICOS+/FoxP3+) (0.5%,1.1x)",Tumor (Ki67+) (11.8%); Macrophage (10.1%); Tumor (9.4%); CD4 T cell (9.1%); CD8 T cell (7.4%),480186,0.1320922574305142,0.0643651742812337,0.0021186058504582,-1.0,1.0,1.0,higher value decreases prediction
SHAP,CytoCommunity,bc_jackson2020,clinical_type,Basel_to_Zurich,logistic,HR+HER2+,tcn_fraction__5,TCN5: proliferative HR-high tumor–stroma niche,"Tumor (Proliferative) (5.8%,1.5x); Stroma (Large elongated) (0.0%,1.4x); Tumor (CK+ HR hi) (6.3%,1.3x); Macrophage (3.5%,1.1x); Stroma (Small elongated) (11.1%,1.1x)",Stroma (Small elongated) (11.1%); T cell (10.6%); Tumor (CK lo HR lo) (8.0%); Stroma (Vimentin hi) (7.3%); Tumor (CK+ HR lo) (6.9%),140638,0.1255120587031036,0.0026673903396381,0.0292343207182626,-1.0,1.0,1.0,higher value decreases prediction
SHAP,CytoCommunity,hnc_wu2022,primary_outcome,cv,logistic,1,tcn_fraction__4,TCN4: dendritic/NK–proliferative tumor niche,"Unknown (TCF1+) (0.2%,2.1x); Dendritic cell (0.2%,2.0x); NK cell (0.1%,1.3x); Lymph vessel (0.7%,1.2x); Naive lymphocyte (CD45RA+/CD38+) (0.5%,1.2x)",Tumor (Ki67+) (12.1%); Macrophage (9.6%); Tumor (9.4%); CD4 T cell (8.5%); CD8 T cell (7.6%),416734,0.116087138581224,0.0467309563886198,-0.0015042984221726,1.0,1.0,1.0,higher value increases prediction
