task,scheme,model,class,feature,n_datasets,mean_abs_shap,median_abs_shap,mean_value_shap_spearman,dataset_direction_agreement
DFS,cv,cox,risk,vasculature,1,0.20965247895231703,0.20965247895231703,-0.9999999999999998,1.0
DFS,cv,cox,risk,Stroma,1,0.20341615038554572,0.20341615038554572,1.0,1.0
DFS,cv,cox,risk,plasma cells,1,0.17943837489700443,0.17943837489700443,0.9999999999999999,1.0
DFS,cv,cox,risk,tumor cells / immune cells,1,0.16390487777030696,0.16390487777030696,0.6,1.0
DFS,cv,cox,risk,lymphatics,1,0.1635603768348134,0.1635603768348134,0.7333333333333332,1.0
DFS,cv,cox,risk,Tregs,1,0.15361484707389886,0.15361484707389886,-0.9999999999999999,1.0
DFS,cv,cox,risk,Tumor 7,1,0.14964977576544172,0.14964977576544172,-1.0,1.0
DFS,cv,cox,risk,tumor cells,1,0.14074333311199136,0.14074333311199136,-0.9999999999999998,1.0
DFS,cv,cox,risk,granulocytes,1,0.14065471656226666,0.14065471656226666,0.9999999999999998,1.0
DFS,cv,cox,risk,CD4+ T cells GATA3+,1,0.12920753516965744,0.12920753516965744,0.9999999999999999,1.0
DFS,cv,cox,risk,CD4 T cell,1,0.12753473439836716,0.12753473439836716,-1.0,1.0
DFS,cv,cox,risk,Tumor (CK7+),1,0.12360840753643079,0.12360840753643079,-1.0,1.0
DFS,cv,cox,risk,Tumor 2 (Ki67 Proliferating),1,0.12257721856301432,0.12257721856301432,-1.0,1.0
DFS,cv,cox,risk,CD68+ macrophages,1,0.11118237064867272,0.11118237064867272,0.9999999999999999,1.0
DFS,cv,cox,risk,Blood vessel,1,0.10580186030405006,0.10580186030405006,-1.0,1.0
DFS,cv,cox,risk,Tumor 1,1,0.10575767812306354,0.10575767812306354,1.0,1.0
DFS,cv,cox,risk,Tumor 6 / DC,1,0.10556888145745194,0.10556888145745194,1.0,1.0
DFS,cv,cox,risk,B cells,1,0.10470165557178966,0.10470165557178966,-0.8666666666666666,1.0
DFS,cv,cox,risk,CD4+ T cells,1,0.10434745509544399,0.10434745509544399,-1.0,1.0
DFS,cv,cox,risk,CD8+ T cells,1,0.09613496622256297,0.09613496622256297,0.06666666666666665,1.0
DFS,cv,cox,risk,CD3+ T cells,1,0.09426048013797897,0.09426048013797897,-0.9999999999999999,1.0
DFS,cv,cox,risk,stroma,1,0.09197373394150081,0.09197373394150081,-0.8666666666666665,1.0
DFS,cv,cox,risk,CD68+CD163+ macrophages,1,0.09063829350842505,0.09063829350842505,0.33333333333333326,1.0
DFS,cv,cox,risk,nerves,1,0.09050989960620617,0.09050989960620617,-1.0,1.0
DFS,cv,cox,risk,CD4+ T cells CD45RO+,1,0.08957689947060467,0.08957689947060467,0.8666666666666666,1.0
DFS,cv,cox,risk,immune cells / vasculature,1,0.08846711400641845,0.08846711400641845,0.7333333333333333,1.0
DFS,cv,cox,risk,Stroma (Large elongated),1,0.0874389431692226,0.0874389431692226,1.0,1.0
DFS,cv,cox,risk,undefined,1,0.08578685031730468,0.08578685031730468,0.7333333333333332,1.0
DFS,cv,cox,risk,dirt,1,0.08564227903593978,0.08564227903593978,0.6,1.0
DFS,cv,cox,risk,smooth muscle,1,0.07207115720876305,0.07207115720876305,-0.7333333333333332,1.0
DFS,cv,cox,risk,Stroma (Fibronectin hi),1,0.06643413017278774,0.06643413017278774,1.0,1.0
DFS,cv,cox,risk,B cell,2,0.06303133536227473,0.06303133536227473,0.0,0.5
DFS,cv,cox,risk,CD11b+ monocytes,1,0.062298383488317066,0.062298383488317066,-1.0,1.0
DFS,cv,cox,risk,Tumor (Epithelial low),1,0.06083094414500838,0.06083094414500838,1.0,1.0
DFS,cv,cox,risk,Tumor (Apoptotic),1,0.06034055524646514,0.06034055524646514,-1.0,1.0
DFS,cv,cox,risk,Tumor (CK lo HR lo),1,0.057190240730051155,0.057190240730051155,1.0,1.0
DFS,cv,cox,risk,NK cells,1,0.054947346393282234,0.054947346393282234,-0.9999999999999999,1.0
DFS,cv,cox,risk,Stroma (Small circular),1,0.05348900404075732,0.05348900404075732,-1.0,1.0
DFS,cv,cox,risk,Other,1,0.05253691790082881,0.05253691790082881,0.06666666666666664,1.0
DFS,cv,cox,risk,CD163+ macrophages,1,0.05017933638435489,0.05017933638435489,-0.8666666666666666,1.0
DFS,cv,cox,risk,Tumor 4,1,0.04957135193747321,0.04957135193747321,-0.7333333333333333,1.0
DFS,cv,cox,risk,CD8 T cell,1,0.0464845701544063,0.0464845701544063,0.06666666666666668,1.0
DFS,cv,cox,risk,Tumor 3,1,0.046211108449376107,0.046211108449376107,0.06666666666666667,1.0
DFS,cv,cox,risk,Tumor (Proliferative),1,0.04469662621810448,0.04469662621810448,1.0,1.0
DFS,cv,cox,risk,immune cells,1,0.04415621121286039,0.04415621121286039,-0.3333333333333333,1.0
DFS,cv,cox,risk,Stroma (SMA hi Vimentin hi),1,0.04412222853365412,0.04412222853365412,-1.0,1.0
DFS,cv,cox,risk,adipocytes,1,0.04282677984219652,0.04282677984219652,0.8666666666666667,1.0
DFS,cv,cox,risk,T & B cells,1,0.04266054093659837,0.04266054093659837,1.0,1.0
DFS,cv,cox,risk,Granulocyte,1,0.042133784095831676,0.042133784095831676,0.2,1.0
DFS,cv,cox,risk,Tumor (CK+ HR+),1,0.04145052567348108,0.04145052567348108,1.0,1.0
DFS,cv,cox,risk,Tumor (CK+ HR hi),1,0.04060182366833382,0.04060182366833382,1.0,1.0
DFS,cv,cox,risk,CD68+ macrophages GzmB+,1,0.037976499410572934,0.037976499410572934,-0.6,1.0
DFS,cv,cox,risk,CD11b+CD68+ macrophages,1,0.037913433156450356,0.037913433156450356,-0.8666666666666667,1.0
DFS,cv,cox,risk,Stroma (Small elongated),1,0.036547963321425896,0.036547963321425896,-0.8666666666666667,1.0
DFS,cv,cox,risk,Macrophage,2,0.034161810896178584,0.034161810896178584,0.33333333333333337,1.0
DFS,cv,cox,risk,Endothelial,1,0.03109273466292785,0.03109273466292785,0.06666666666666662,1.0
DFS,cv,cox,risk,Tumor 5,1,0.030256281392398308,0.030256281392398308,-0.4666666666666667,1.0
DFS,cv,cox,risk,T cell,1,0.029716875851018447,0.029716875851018447,-0.7333333333333333,1.0
DFS,cv,cox,risk,Tumor (Myoepithelial),1,0.02739084037637083,0.02739084037637083,-1.0,1.0
DFS,cv,cox,risk,Tumor (Hypoxic),1,0.026246555478056773,0.026246555478056773,1.0,1.0
DFS,cv,cox,risk,CD11c+ DCs,1,0.025848910035649854,0.025848910035649854,-0.4666666666666667,1.0
DFS,cv,cox,risk,Tumor (Basal CK),1,0.01823903062274903,0.01823903062274903,-0.6,1.0
DFS,cv,cox,risk,Tumor (CK lo HR hi p53+),1,0.018221259670969176,0.018221259670969176,0.8666666666666666,1.0
DFS,cv,cox,risk,Tumor (p53+ EGFR+),1,0.01771818994237633,0.01771818994237633,0.6,1.0
DFS,cv,cox,risk,Tumor (CK+ HR lo),1,0.017536321824370947,0.017536321824370947,0.2,1.0
DFS,cv,cox,risk,Stroma (Vimentin hi),1,0.015739693974248386,0.015739693974248386,0.4666666666666667,1.0
DFS,cv,cox,risk,Tumor (CK7+ CK hi Ecadh hi),1,0.012173362637992336,0.012173362637992336,-0.06666666666666667,1.0
DSS,cv,cox,risk,HR+ CK7- Ki67+,1,0.14237278902623343,0.14237278902623343,1.0,1.0
DSS,cv,cox,risk,HR+ CK7-,1,0.10086260533541176,0.10086260533541176,-1.0,1.0
DSS,cv,cox,risk,HR- CK7+,1,0.09471066936637076,0.09471066936637076,1.0,1.0
DSS,cv,cox,risk,Fibroblasts CD68+,1,0.09289926211610423,0.09289926211610423,1.0,1.0
DSS,cv,cox,risk,Fibroblasts,1,0.08767140295839826,0.08767140295839826,-1.0,1.0
DSS,cv,cox,risk,Vascular SMA+,1,0.06931138720095462,0.06931138720095462,-1.0,1.0
DSS,cv,cox,risk,HRlow CKlow,1,0.0676354844771839,0.0676354844771839,1.0,1.0
DSS,cv,cox,risk,HR- Ki67+,1,0.050545149132574387,0.050545149132574387,1.0,1.0
DSS,cv,cox,risk,HER2+,1,0.050154911854638974,0.050154911854638974,1.0,1.0
DSS,cv,cox,risk,T cells,1,0.04389845649646174,0.04389845649646174,0.8666666666666667,1.0
DSS,cv,cox,risk,HR- CK7-,1,0.030086732297453015,0.030086732297453015,-1.0,1.0
DSS,cv,cox,risk,Basal CKlow,1,0.026004791362927264,0.026004791362927264,0.6,1.0
DSS,cv,cox,risk,HR- CKlow CK5+,1,0.025223650983752264,0.025223650983752264,-0.4666666666666667,1.0
DSS,cv,cox,risk,B cells,1,0.019303541841031783,0.019303541841031783,-0.8666666666666667,1.0
DSS,cv,cox,risk,Endothelial,1,0.018770691472115627,0.018770691472115627,0.7333333333333333,1.0
DSS,cv,cox,risk,Macrophages Vim+ CD45low,1,0.017495214182591725,0.017495214182591725,-0.4666666666666667,1.0
DSS,cv,cox,risk,Myoepithelial,1,0.017303811524844045,0.017303811524844045,0.06666666666666667,1.0
DSS,cv,cox,risk,Myofibroblasts,1,0.017086295716443167,0.017086295716443167,0.06666666666666667,1.0
DSS,cv,cox,risk,HR+ CK7- Slug+,1,0.015029137617210513,0.015029137617210513,1.0,1.0
DSS,cv,cox,risk,Macrophages Vim+ Slug+,1,0.014884320875428375,0.014884320875428375,-0.06666666666666667,1.0
DSS,cv,cox,risk,Hypoxia,1,0.008717315978832558,0.008717315978832558,-0.2,1.0
DSS,cv,cox,risk,Macrophages Vim+ Slug-,1,0.007936772396403925,0.007936772396403925,-0.3333333333333333,1.0
OS,cv,cox,risk,Stroma,1,0.3514291970381199,0.3514291970381199,-1.0,1.0
OS,cv,cox,risk,Granulocytes,1,0.2910792735299314,0.2910792735299314,0.6,1.0
OS,cv,cox,risk,CCR7+ CD8/CD4 Cells,1,0.2694275326794301,0.2694275326794301,0.6,1.0
OS,cv,cox,risk,Proliferating Tumour,1,0.24461275333765148,0.24461275333765148,0.8666666666666667,1.0
OS,cv,cox,risk,Tregs,1,0.24406680969264224,0.24406680969264224,-0.9999999999999999,1.0
OS,cv,cox,risk,Proliferating Lymphocytes,1,0.23989363991408388,0.23989363991408388,-1.0,1.0
OS,cv,cox,risk,APC,1,0.23586761506394952,0.23586761506394952,-1.0,1.0
OS,cv,cox,risk,HLADR Tumour,1,0.21871462201023106,0.21871462201023106,-1.0,1.0
OS,cv,cox,risk,Lymphatics,1,0.21494572375820495,0.21494572375820495,1.0,1.0
OS,cv,cox,risk,Tumor (CD21+),1,0.19993705968522538,0.19993705968522538,1.0,1.0
OS,cv,cox,risk,CD68+ macrophages,1,0.19247185812815673,0.19247185812815673,0.9999999999999999,1.0
OS,cv,cox,risk,Artifact,1,0.18933345160293466,0.18933345160293466,-0.8666666666666667,1.0
OS,cv,cox,risk,Macrophages,1,0.18482088567479085,0.18482088567479085,0.7333333333333333,1.0
OS,cv,cox,risk,lymphatics,1,0.18071687267183342,0.18071687267183342,1.0,1.0
