dataset,task,scheme,model,class,feature,mean_abs_shap,sd_abs_shap,mean_shap,value_shap_spearman,top_fold_frequency,n_fold_models,n_explained_regions,direction_consistency,direction
bc_jackson2020,DFS,cv,cox,risk,Tumor (CK7+),0.12360840753643079,0.025369754030302952,-0.00044230578845602154,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Stroma (Large elongated),0.0874389431692226,0.028389893765018666,0.0027509445733714575,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Stroma (Fibronectin hi),0.06643413017278774,0.03785250822919432,0.0033787096865338295,1.0,0.9333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Tumor (Epithelial low),0.06083094414500838,0.01798203952029934,-0.00041278325696363533,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Tumor (Apoptotic),0.06034055524646514,0.02550541734386805,-0.003468937083864418,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Tumor (CK lo HR lo),0.057190240730051155,0.016405065740187498,0.0007020615388121707,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Stroma (Small circular),0.05348900404075732,0.02887544080118616,-0.0022066081132669697,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,B cell,0.050335532108037526,0.026576831222375277,-0.0013333282977479946,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Tumor (Proliferative),0.04469662621810448,0.014333736672626655,-0.0009782922658227785,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Stroma (SMA hi Vimentin hi),0.04412222853365412,0.01618575713260859,-0.00036072865366080603,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,T & B cells,0.04266054093659837,0.01049525945962434,-0.0021672936964452316,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Tumor (CK+ HR+),0.04145052567348108,0.02059654611487584,0.0012291281577465217,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Tumor (CK+ HR hi),0.04060182366833382,0.018833127107210513,-0.0005085209820134377,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Stroma (Small elongated),0.036547963321425896,0.02758046684994418,-0.00131050809008047,-0.8666666666666667,0.8666666666666667,15,1128,0.9333333333333333,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Endothelial,0.03109273466292785,0.017918932627834,-0.0036795922033312145,0.06666666666666662,0.8,15,1128,0.5333333333333333,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,T cell,0.029716875851018447,0.02447349277681534,-0.0022477571428739427,-0.7333333333333333,0.6666666666666666,15,1128,0.8666666666666667,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Tumor (Myoepithelial),0.02739084037637083,0.011165454696166265,-0.00014479885099773966,-1.0,0.9333333333333333,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Tumor (Hypoxic),0.026246555478056773,0.032466712735419435,0.005779543766586528,1.0,0.5333333333333333,15,1128,1.0,higher value increases prediction
