dataset,task,scheme,model,class,seed,fold,feature,mean_abs_shap,mean_shap,value_shap_spearman,top_feature,n_explained_regions
bc_jackson2020,OS,cv,cox,risk,0,0,B cell,0.017012287342126602,-0.0016242586482423972,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Endothelial,0.01817501653563195,-0.0016707704857769666,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Macrophage,0.02649903055789208,-0.002051330833169412,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Stroma (Fibronectin hi),0.15395550249079792,0.06346931294252436,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Stroma (Large elongated),0.07689387197210786,-0.008585086832133094,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Stroma (SMA hi Vimentin hi),0.04779267222245736,-0.008069598262750432,-0.9999999999999999,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Stroma (Small circular),0.06676502232762375,-0.019151641554910063,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Stroma (Small elongated),0.005502447740705678,0.0003663518954899454,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,Stroma (Vimentin hi),0.023552688796579836,-0.004061419654813262,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,T & B cells,0.0017547709417676085,8.293011231042736e-05,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,T cell,0.009200614068309075,0.0008171463123741006,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (Apoptotic),0.040394388000861564,0.010310433015500345,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (Basal CK),0.00901152151144613,0.0007158763494432871,0.9999999999999998,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (CK lo HR hi p53+),0.020843864913870733,0.00810794768625976,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (CK lo HR lo),0.05629427223055586,-0.0021241341293944727,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (CK+ HR hi),0.03672505163320149,-0.0024619581775629064,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (CK+ HR lo),0.01617039700786569,0.000558430498406461,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (CK+ HR+),0.025834500058663574,-0.002446494254622261,-0.9999999999999999,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (CK7+ CK hi Ecadh hi),0.021794446658424473,0.003444025525258573,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (CK7+),0.13038380363824786,0.00046446749293979097,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (Epithelial low),0.06536456736361801,-0.00574675016998859,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (Hypoxic),0.056801743557198414,0.003005618583241842,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (Myoepithelial),0.03866323810952744,0.0001152173223017358,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (Proliferative),0.05180541174584877,-0.029408309568237263,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Tumor (p53+ EGFR+),0.023955565851579305,-0.007245281880095625,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,1,B cell,0.018170686142978645,0.009048673907858388,-0.9999999999999998,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Endothelial,0.12434221244832291,-0.0127895028773872,-1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Macrophage,0.018477400149840985,-0.002972055471805235,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Stroma (Fibronectin hi),0.050136555865716005,0.013431813129650841,1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Stroma (Large elongated),0.2209463353108864,0.10829106097335085,0.9999999999999998,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Stroma (SMA hi Vimentin hi),0.04349365966391616,-0.005372308132176742,-1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Stroma (Small circular),0.05061187051731965,0.011659106481754606,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Stroma (Small elongated),0.0898357581806201,-0.012511892828933394,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Stroma (Vimentin hi),0.05167744152999049,0.0010700194954136228,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,T & B cells,0.015969585899184697,0.004324997800950006,-1.0,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,T cell,0.042050633087962086,-0.015234164597522434,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (Apoptotic),0.07569864347483324,-0.008949685000908309,-1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (Basal CK),0.015546657996496759,0.0015650832912917835,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (CK lo HR hi p53+),0.012068850832032766,-0.011744847233741454,1.0,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (CK lo HR lo),0.047181764849326735,0.0006549772071277182,1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (CK+ HR hi),0.0151243620773936,0.0015929212470621823,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (CK+ HR lo),0.03250782364965865,-0.0015193843628792522,-1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (CK+ HR+),0.042375938006543074,0.008834530569481068,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (CK7+ CK hi Ecadh hi),0.004920294653012097,0.0016867878615175209,1.0,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (CK7+),0.09832726701653179,-0.015632361238357016,-1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (Epithelial low),0.05162431390939831,-0.013219748414733962,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (Hypoxic),0.039437593431996196,-0.0016141123843470457,1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (Myoepithelial),0.04231126128841106,-0.008134651582259227,-1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (Proliferative),0.039366058107152234,-0.017153965637891264,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Tumor (p53+ EGFR+),0.02552266523733289,0.002349159895099902,1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,2,B cell,0.07135627621303048,-0.021333424523694015,-1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Endothelial,0.02014741644851069,-0.00412112670637052,1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Macrophage,0.03502886098647486,-0.005912563297535149,-0.9999999999999999,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Stroma (Fibronectin hi),0.03644618229239653,-0.017648690985037775,1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Stroma (Large elongated),0.04821487368781691,-0.013523169281840781,1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Stroma (SMA hi Vimentin hi),0.04467189251286009,0.007704397285270968,-1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Stroma (Small circular),0.044432365979026965,0.0014923818779770978,-0.9999999999999999,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Stroma (Small elongated),0.02121085731175367,0.005672609084196283,1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Stroma (Vimentin hi),0.002778210151604609,-0.0003977081482110612,-0.9999999999999999,False,74
bc_jackson2020,OS,cv,cox,risk,0,2,T & B cells,0.002988308767134413,0.0005764659458033125,-1.0,False,74
bc_jackson2020,OS,cv,cox,risk,0,2,T cell,0.041821630608577555,-0.006489119478909647,0.9999999999999999,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (Apoptotic),0.034291024307441804,0.032019634461788724,-1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (Basal CK),0.02264455414430654,0.0004784554088067831,-1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (CK lo HR hi p53+),0.01149883563755206,0.0038849006055705648,1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (CK lo HR lo),0.06545117186910128,0.015012892629633177,1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (CK+ HR hi),0.02408143030033346,-0.004199799202248203,-0.9999999999999998,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (CK+ HR lo),0.015216929672909146,-0.0020107013505105825,0.9999999999999999,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (CK+ HR+),0.007060296901976332,0.0012592907101592265,1.0,False,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (CK7+ CK hi Ecadh hi),0.008820034477720198,0.008820034477720198,-1.0,False,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (CK7+),0.08953853855453507,0.004997644647463609,-0.9999999999999998,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (Epithelial low),0.06094470374496467,-0.012845794771135104,0.9999999999999999,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (Hypoxic),0.019632163797647532,-0.002395820705948208,1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (Myoepithelial),0.01060370985455672,-3.410332090127649e-05,-1.0,False,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (Proliferative),0.06608052891991986,-0.005521831435643917,1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Tumor (p53+ EGFR+),0.02873268241107797,0.0063397025619494575,1.0,True,74
bc_jackson2020,OS,cv,cox,risk,0,3,B cell,0.03362998990856043,0.007954491030390384,-1.0,True,73
bc_jackson2020,OS,cv,cox,risk,0,3,Endothelial,0.03650083362415453,0.002817201877076327,1.0,True,73
bc_jackson2020,OS,cv,cox,risk,0,3,Macrophage,0.025896157124610162,0.0008731656762309848,0.9999999999999998,True,73
bc_jackson2020,OS,cv,cox,risk,0,3,Stroma (Fibronectin hi),0.023386175661661002,-0.005761442980064674,1.0,True,73
bc_jackson2020,OS,cv,cox,risk,0,3,Stroma (Large elongated),0.054937167233842434,-0.010453165203989567,1.0,True,73
bc_jackson2020,OS,cv,cox,risk,0,3,Stroma (SMA hi Vimentin hi),0.047658853485018984,-0.007638360663835675,-1.0,True,73
bc_jackson2020,OS,cv,cox,risk,0,3,Stroma (Small circular),0.004954130436962634,-9.611773836003036e-05,-1.0,False,73
