task,scheme,model,class,feature,n_datasets,mean_abs_shap,median_abs_shap,mean_value_shap_spearman,dataset_direction_agreement
DFS,cv,cox,risk,expression__CD194,1,0.22816946639605218,0.22816946639605218,0.9999999999999998,1.0
DFS,cv,cox,risk,expression__CD34,1,0.21631496729439753,0.21631496729439753,-0.9999999999999998,1.0
DFS,cv,cox,risk,expression__CD138,1,0.2095493312212717,0.2095493312212717,-0.9999999999999998,1.0
DFS,cv,cox,risk,composition__vasculature,1,0.18665382694137536,0.18665382694137536,-0.9999999999999998,1.0
DFS,cv,cox,risk,composition__tumor cells / immune cells,1,0.17097439892356828,0.17097439892356828,0.6,1.0
DFS,cv,cox,risk,composition__tumor cells,1,0.16912324841712142,0.16912324841712142,-0.9999999999999998,1.0
DFS,cv,cox,risk,expression__Ecadherin,1,0.1640588676727905,0.1640588676727905,-1.0,1.0
DFS,cv,cox,risk,expression__CD15,2,0.16182665105799152,0.16182665105799152,0.06666666666666676,0.5
DFS,cv,cox,risk,composition__CD4+ T cells GATA3+,1,0.15514319734917012,0.15514319734917012,0.9999999999999999,1.0
DFS,cv,cox,risk,expression__c-erbB-2 - Her2,1,0.15484921428099668,0.15484921428099668,1.0,1.0
DFS,cv,cox,risk,expression__CD30,1,0.14498030149547123,0.14498030149547123,-0.9999999999999998,1.0
DFS,cv,cox,risk,expression__CD45RO,2,0.14214653045443804,0.14214653045443804,-1.1102230246251565e-16,0.5
DFS,cv,cox,risk,composition__Tregs,1,0.13750900196501037,0.13750900196501037,-0.9999999999999999,1.0
DFS,cv,cox,risk,composition__stroma,1,0.13226908195199816,0.13226908195199816,-0.8666666666666665,1.0
DFS,cv,cox,risk,composition__Tumor (CK7+),1,0.12834548765799847,0.12834548765799847,-1.0,1.0
DFS,cv,cox,risk,expression__Siglec8,1,0.12732520586205023,0.12732520586205023,-1.0,1.0
DFS,cv,cox,risk,expression__CD2,1,0.12334267837845275,0.12334267837845275,-0.5999999999999999,1.0
DFS,cv,cox,risk,expression__FOXP3,1,0.12150626583609986,0.12150626583609986,0.8666666666666665,1.0
DFS,cv,cox,risk,composition__Tumor 7,1,0.12028927240961755,0.12028927240961755,-1.0,1.0
DFS,cv,cox,risk,composition__Stroma,1,0.11935461129537248,0.11935461129537248,1.0,1.0
DFS,cv,cox,risk,expression__CDX2,1,0.11871141936926603,0.11871141936926603,-0.7333333333333332,1.0
DFS,cv,cox,risk,composition__immune cells / vasculature,1,0.11842729420245393,0.11842729420245393,1.0,1.0
DFS,cv,cox,risk,composition__Tumor 1,1,0.11835850509849483,0.11835850509849483,1.0,1.0
DFS,cv,cox,risk,composition__undefined,1,0.11823383298200997,0.11823383298200997,0.7333333333333332,1.0
DFS,cv,cox,risk,composition__lymphatics,1,0.11811034636285049,0.11811034636285049,0.5999999999999999,1.0
DFS,cv,cox,risk,expression__HLA-DR,2,0.11491137100445586,0.11491137100445586,0.9333333333333332,1.0
DFS,cv,cox,risk,expression__Vimentin,3,0.11362716830491097,0.10824338398487957,-0.02222222222222214,0.6666666666666666
DFS,cv,cox,risk,expression__T-bet,1,0.1134692031712334,0.1134692031712334,-0.8666666666666665,1.0
DFS,cv,cox,risk,expression__CD31,2,0.11163255970161745,0.11163255970161745,-1.1102230246251565e-16,0.5
DFS,cv,cox,risk,composition__Tumor 6 / DC,1,0.11132578924934285,0.11132578924934285,1.0,1.0
DFS,cv,cox,risk,expression__CD5,1,0.11086036500421027,0.11086036500421027,-0.8666666666666665,1.0
DFS,cv,cox,risk,composition__CD4 T cell,1,0.1106057046871889,0.1106057046871889,-1.0,1.0
DFS,cv,cox,risk,expression__beta-catenin,1,0.10567077253646359,0.10567077253646359,0.8666666666666665,1.0
