dataset,task,scheme,model,class,feature,mean_abs_shap,sd_abs_shap,mean_shap,value_shap_spearman,top_fold_frequency,n_fold_models,n_explained_regions,direction_consistency,direction
bc_jackson2020,DFS,cv,cox,risk,expression__Vimentin,0.1966463306925517,0.0371211010848014,-0.0008578033849769298,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Ecadherin,0.1640588676727905,0.03169985138039728,-0.00023892315629397374,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__c-erbB-2 - Her2,0.15484921428099668,0.037586954459710026,-0.0007952389444660044,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (CK7+),0.12834548765799847,0.02532014610568492,-0.0007324132516551822,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__c-Myc,0.09549926077707685,0.042071713015329096,0.002929925186106616,1.0,0.8,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (Epithelial low),0.094135770890813,0.020278696316800893,8.805394229621036e-05,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__p53,0.0900740049193071,0.04293754935262552,0.0010276478184594667,1.0,0.8,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Stroma (Large elongated),0.0886228547305123,0.027847961954136805,0.0028853680018846033,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Twist,0.08577230841536104,0.03406141122178211,-0.0012253495324250953,-1.0,0.7333333333333333,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__pan Cytokeratin,0.08522144604970618,0.027701888951170962,-0.0015191551943394151,1.0,0.8,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Slug,0.07985395778601144,0.01877615678833592,0.002121707387804814,-1.0,0.8,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__vWF,0.07917553215866184,0.05554478793694265,-0.0028766364570260534,-1.0,0.5333333333333333,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Stroma (Vimentin hi),0.07666497547955685,0.02558037368340546,0.0005209835251859703,-1.0,0.8,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__phospho-S6,0.07340440781576472,0.03182437068126254,-0.00258969854790819,1.0,0.7333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Cytokeratin 19,0.06469476984797097,0.026512920252220608,-0.0009095505417550953,1.0,0.5333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (CK lo HR lo),0.0636153369823669,0.021078057463029973,0.0009799373432982878,1.0,0.5333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Stroma (Fibronectin hi),0.06296357436001458,0.04511666331688352,0.004315354468869591,1.0,0.4,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (Apoptotic),0.05607386329427633,0.02158556572016127,-0.002397812058728159,-1.0,0.3333333333333333,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__GATA3,0.052308792369669885,0.02505761123949636,0.0013688406445449249,-1.0,0.4666666666666667,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Carbonic Anhydrase IX,0.04917764434159957,0.026089035814632795,-0.001491914621356903,1.0,0.26666666666666666,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__CD68,0.04843866521804826,0.025130368633614297,-0.0004636463302304681,-0.8666666666666667,0.4,15,1128,0.9333333333333333,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__SMA,0.048367647579130056,0.024437499320086584,0.0019084321318117374,-0.7333333333333333,0.3333333333333333,15,1128,0.8666666666666667,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Cytokeratin 5,0.04760930347339611,0.025118069741654116,0.001438752815163102,1.0,0.3333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__EGFR,0.04691277591838124,0.033477057519580605,0.0027831181159228124,1.0,0.4,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (Proliferative),0.04565034823827162,0.021399945170628716,-0.00024477247841730456,1.0,0.3333333333333333,15,1128,1.0,higher value increases prediction
