dataset,task,scheme,model,class,seed,fold,feature,mean_abs_shap,mean_shap,value_shap_spearman,top_feature,n_explained_regions
bc_jackson2020,OS,cv,cox,risk,0,0,composition__B cell,0.008990077068917817,-0.0008583331643709513,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Endothelial,0.040703044128440044,-0.0037416991988838653,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Macrophage,0.037165008370180164,-0.0028770006290680804,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Stroma (Fibronectin hi),0.15844515413651208,0.06532020557510033,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Stroma (Large elongated),0.07666151749206034,-0.008559144798836005,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Stroma (SMA hi Vimentin hi),0.035584434316631004,-0.00600828696093524,-0.9999999999999999,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Stroma (Small circular),0.11168141839913844,-0.032035973612477654,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Stroma (Small elongated),0.02495441924555595,0.001661460357693054,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Stroma (Vimentin hi),0.006002879721442467,0.0010351350496206075,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__T & B cells,0.0024883404145373345,0.00011759845409583122,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__T cell,0.003246063507938771,-0.0002882969338297431,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (Apoptotic),0.03967273330748827,0.010126234844799301,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (Basal CK),0.0021291180230140756,0.00016913739105136184,0.9999999999999998,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (CK lo HR hi p53+),0.04403239971159673,0.017127936437763457,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (CK lo HR lo),0.05758195460567002,-0.002172721844847962,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (CK+ HR hi),0.0521661065011887,-0.0034970889564689017,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (CK+ HR lo),0.027306726169486723,-0.0009430138726499896,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (CK+ HR+),0.029834033215292315,-0.002825244951041566,-0.9999999999999999,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (CK7+ CK hi Ecadh hi),0.005793840844148088,0.0009155605585801181,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (CK7+),0.1429735187452675,0.0005093159576218524,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (Epithelial low),0.06397181447694068,-0.005624301522180054,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (Hypoxic),0.02591071029054212,0.0013710443989422148,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (Myoepithelial),0.03735439656509057,0.00011131694495516872,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (Proliferative),0.040286456283745914,-0.02286935935596715,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,composition__Tumor (p53+ EGFR+),0.025284192754216516,-0.007647120704639617,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__CD20,0.008096370948519822,0.0001206682335014403,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__CD3,0.014804716300560149,0.0016843401059274282,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__CD44,0.037303465533882925,-0.005398427427390718,-1.0,False,76
