task,scheme,model,class,feature,n_datasets,mean_abs_shap,median_abs_shap,mean_value_shap_spearman,dataset_direction_agreement
DFS,cv,cox,risk,CD34,1,0.28882261768861117,0.28882261768861117,-0.9999999999999998,1.0
DFS,cv,cox,risk,CD194,1,0.25826012362700623,0.25826012362700623,0.9999999999999998,1.0
DFS,cv,cox,risk,CD138,1,0.17610675324526176,0.17610675324526176,-0.9999999999999998,1.0
DFS,cv,cox,risk,CD45RO,2,0.17531572890499586,0.17531572890499586,-1.1102230246251565e-16,0.5
DFS,cv,cox,risk,GFAP,1,0.1642094809070315,0.1642094809070315,0.8666666666666665,1.0
DFS,cv,cox,risk,Ecadherin,1,0.16383519508034802,0.16383519508034802,-1.0,1.0
DFS,cv,cox,risk,CD15,2,0.1541553061257405,0.1541553061257405,1.1102230246251565e-16,0.5
DFS,cv,cox,risk,c-erbB-2 - Her2,1,0.14130958965246812,0.14130958965246812,1.0,1.0
DFS,cv,cox,risk,CD5,1,0.1367432660369915,0.1367432660369915,-0.8666666666666665,1.0
DFS,cv,cox,risk,FOXP3,1,0.13610251914831786,0.13610251914831786,0.9999999999999998,1.0
DFS,cv,cox,risk,aSMA,2,0.1360593698268847,0.1360593698268847,1.1102230246251565e-16,0.5
DFS,cv,cox,risk,T-bet,1,0.13252568122774416,0.13252568122774416,-0.9999999999999998,1.0
DFS,cv,cox,risk,Vimentin,3,0.1295913664544448,0.16193083457258842,-0.11111111111111101,0.6666666666666666
DFS,cv,cox,risk,CDX2,1,0.1272800540186062,0.1272800540186062,-0.7333333333333332,1.0
DFS,cv,cox,risk,Siglec8,1,0.12632397620604385,0.12632397620604385,-1.0,1.0
DFS,cv,cox,risk,CD2,1,0.12618315376589168,0.12618315376589168,-0.5999999999999999,1.0
DFS,cv,cox,risk,HLA-DR,2,0.12487183214399665,0.12487183214399665,0.9333333333333332,1.0
DFS,cv,cox,risk,pan Cytokeratin,1,0.12424889201093046,0.12424889201093046,1.0,1.0
DFS,cv,cox,risk,CD30,1,0.12352221663511855,0.12352221663511855,-0.9999999999999998,1.0
DFS,cv,cox,risk,CD31,2,0.12161484809691885,0.12161484809691885,-0.06666666666666676,0.5
DFS,cv,cox,risk,HOECHST1,1,0.11963671771735156,0.11963671771735156,-0.9999999999999998,1.0
DFS,cv,cox,risk,CD68,3,0.11728920713768275,0.15739326077494187,0.4666666666666666,0.6666666666666666
DFS,cv,cox,risk,Podoplanin,2,0.11585147251288108,0.11585147251288108,-0.20000000000000007,0.5
DFS,cv,cox,risk,beta-catenin,1,0.11330798003061175,0.11330798003061175,0.9999999999999998,1.0
DFS,cv,cox,risk,CD4,2,0.10602118285463119,0.10602118285463119,-0.9333333333333332,1.0
DFS,cv,cox,risk,CD38,2,0.10180459225825926,0.10180459225825926,0.19999999999999993,0.5
DFS,cv,cox,risk,CD3,2,0.09947177527327328,0.09947177527327328,-0.9999999999999999,1.0
DFS,cv,cox,risk,LAG-3,1,0.09759153076895469,0.09759153076895469,0.9999999999999998,1.0
DFS,cv,cox,risk,MUC-1,1,0.09520767355425747,0.09520767355425747,-0.7333333333333332,1.0
DFS,cv,cox,risk,PD1,1,0.08941193133363802,0.08941193133363802,0.8666666666666667,1.0
DFS,cv,cox,risk,c-Myc,1,0.08554053366876614,0.08554053366876614,1.0,1.0
DFS,cv,cox,risk,MMP12,1,0.08512425116793072,0.08512425116793072,-0.33333333333333326,1.0
DFS,cv,cox,risk,Cytokeratin 7,1,0.08424047460929603,0.08424047460929603,-1.0,1.0
DFS,cv,cox,risk,Na-K-ATPase,1,0.08191452362516981,0.08191452362516981,0.33333333333333326,1.0
DFS,cv,cox,risk,CD45,3,0.08086181279184029,0.09255610410536658,-0.9555555555555554,1.0
DFS,cv,cox,risk,p53,2,0.08022459554096278,0.08022459554096278,0.4666666666666667,0.5
DFS,cv,cox,risk,CD163,2,0.07911165790258315,0.07911165790258315,0.4666666666666667,0.5
