dataset,task,scheme,model,class,feature,mean_abs_shap,sd_abs_shap,mean_shap,value_shap_spearman,top_fold_frequency,n_fold_models,n_explained_regions,direction_consistency,direction
bc_jackson2020,DFS,cv,cox,risk,Ecadherin,0.16383519508034802,0.02583416675546918,2.0696971431815685e-05,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Vimentin,0.16193083457258842,0.03881026688519525,-0.00030978228941428446,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,c-erbB-2 - Her2,0.14130958965246812,0.03182206233209098,-0.0003824010822430131,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,pan Cytokeratin,0.12424889201093046,0.03754172759865157,-0.0010453019815213646,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,p53,0.08873355047846773,0.03647988189579873,0.0008877149149840541,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,CD3,0.08841015277079065,0.03200230385181626,-0.0006645065647413447,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,c-Myc,0.08554053366876614,0.044552714480298905,0.0032825133146056553,1.0,0.9333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Cytokeratin 7,0.08424047460929603,0.03550328980395949,-0.0028830849067954063,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Twist,0.07570062987397602,0.03471486918723206,-0.0023409758128451236,-1.0,0.8666666666666667,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,vWF,0.07325789276413995,0.058716709558238676,-0.005046178644950145,-1.0,0.7333333333333333,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Slug,0.06666744905302387,0.02159803136707644,0.0013902106157012508,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Carbonic Anhydrase IX,0.06301778165425229,0.02790232814479362,-0.0001232342405479919,1.0,0.7333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,phospho-S6,0.059217702328232535,0.029046478763935978,-0.003106790982777751,0.8666666666666667,0.7333333333333333,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,CD20,0.05263701953683012,0.022416509566027993,-0.005653309674043588,0.8666666666666667,0.8,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,phospho-Histone,0.049652441717644956,0.024533084946971633,-0.0011954993249977516,-0.8666666666666667,0.7333333333333333,15,1128,0.9333333333333333,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Estrogen,0.04698496470702696,0.03777235470963278,0.0035371754772232293,0.7333333333333333,0.5333333333333333,15,1128,0.8666666666666667,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Ki-67,0.04652606771606197,0.019832720361740313,6.292788896788492e-05,1.0,0.6666666666666666,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Histone H3,0.04328324314270931,0.03709563122489779,-0.0011769449756317348,-1.0,0.4,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,SMA,0.04068777302371169,0.025326284466277025,0.0015503519571263276,-0.8666666666666667,0.6666666666666666,15,1128,0.9333333333333333,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,cleaved PARP,0.038027851129503625,0.030422986058934468,0.00048459725981610415,0.8666666666666667,0.3333333333333333,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Progesterone Receptor A/B,0.03466124693121644,0.03341876604692711,-0.0039180417493975515,-0.3333333333333333,0.3333333333333333,15,1128,0.6666666666666666,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Keratin 14 (KRT14),0.03248089471204494,0.01425149995428284,0.003948303101813759,-0.6,0.3333333333333333,15,1128,0.8,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,DNA1,0.03218350570859733,0.02430480927936954,0.0008050035737718357,0.8666666666666667,0.3333333333333333,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,CD68,0.03208403166049826,0.02431356143650969,-0.0003132295173129249,-0.6,0.3333333333333333,15,1128,0.8,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Cytokeratin 5,0.03000139926125692,0.019573269759637055,0.0008162075257664004,0.7333333333333333,0.3333333333333333,15,1128,0.8666666666666667,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Cytokeratin 19,0.028675119740083275,0.01975021823532276,-0.0010580945802190493,0.2,0.3333333333333333,15,1128,0.6,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,phospho-mTOR,0.028416562328403772,0.024921250690951285,-0.004215315804964423,0.2,0.26666666666666666,15,1128,0.6,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,CD44,0.0269027557295262,0.01754174834496161,0.002025308523401,0.4666666666666667,0.3333333333333333,15,1128,0.7333333333333333,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,CD45,0.026144425892536953,0.016185570636188123,-0.0007034895785983999,-0.8666666666666667,0.26666666666666666,15,1128,0.9333333333333333,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,GATA3,0.025735441835415134,0.014049942896410086,0.002113131275046657,0.6,0.3333333333333333,15,1128,0.8,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,EGFR,0.025200465477844554,0.013693464367214234,0.0028481107455146384,-0.2,0.26666666666666666,15,1128,0.6,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,Cytokeratin 8/18,0.024493446458360137,0.017033435363381522,-0.001417538095787597,0.2,0.2,15,1128,0.6,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,Fibronectin,0.023698665739049662,0.022520000620227968,-0.00036075894177918993,0.19999999999999993,0.2,15,1128,0.6,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,c-erbB-2 - Her2,0.1642787718318358,0.031214363115495507,0.0014472232363425743,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,Vimentin,0.15976905935560437,0.0261492568488572,0.0006926707941161644,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,vWF,0.14202419668419083,0.036578888054312,-0.003436070784918338,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,Ecadherin,0.1315065308531866,0.04160670424708053,0.0017585869407863732,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,p53,0.09800911064853966,0.03682108383434132,0.0019532249394434388,1.0,0.8666666666666667,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,Carbonic Anhydrase IX,0.08864854124873998,0.029294147334256285,0.00011214934334690848,1.0,0.9333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,Twist,0.0884629288453082,0.024856908032648166,-0.0007153048616648873,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,cleaved PARP,0.08715063603755815,0.04273118301830447,0.0025526879206561382,1.0,0.9333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,Histone H3,0.07098101995927363,0.03319441523681357,-0.0019167200271426328,-1.0,0.7333333333333333,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,Ki-67,0.06927805870667571,0.03379648235704904,-0.005736533925363117,0.7333333333333333,0.8,15,1128,0.8666666666666667,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,Progesterone Receptor A/B,0.06731758023921526,0.036349516077917914,0.00014289397740658693,-1.0,0.8666666666666667,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,phospho-Histone,0.06721958165742213,0.03419825618864738,0.0012749170583404436,-1.0,0.8,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,c-Myc,0.06285958183524427,0.03297579885310326,0.0023117806695572966,1.0,0.7333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,CD3,0.060462393731021954,0.0320084436717892,-0.0017424256533078882,-1.0,0.8666666666666667,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,pan Cytokeratin,0.05338227523660158,0.019189689893521735,-0.00018786602145156797,0.8666666666666667,0.7333333333333333,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,Cytokeratin 7,0.05051910714775994,0.02253680936629448,0.002102473950956986,-1.0,0.7333333333333333,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,phospho-S6,0.05031787250218307,0.022753390721308265,0.0010829368902653233,0.8666666666666667,0.7333333333333333,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,Cytokeratin 5,0.045219322667224296,0.031044356713965993,0.0020980091568867146,1.0,0.4666666666666667,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,CD44,0.04349880075431557,0.02955798349299976,-8.597272549881625e-05,0.7333333333333333,0.4666666666666667,15,1128,0.8666666666666667,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,Slug,0.04289048583758222,0.026466508933804065,0.00215752894708701,-0.8666666666666667,0.4666666666666667,15,1128,0.9333333333333333,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,DNA1,0.04284874181622174,0.03320847236055829,-0.0027878190882992776,-0.3333333333333333,0.4666666666666667,15,1128,0.6666666666666666,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,SMA,0.04206915229195139,0.027702981894546088,-0.0016974015465302174,-0.4666666666666667,0.5333333333333333,15,1128,0.7333333333333333,higher value decreases prediction
