dataset,task,scheme,model,class,seed,fold,feature,mean_abs_shap,mean_shap,value_shap_spearman,top_feature,n_explained_regions
bc_jackson2020,OS,cv,cox,risk,0,0,CD20,0.008712675521770236,0.00012985363083882208,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,CD3,0.046052132069747766,0.005239374496194031,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,CD44,0.01119629562344624,-0.0016202888528918775,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,CD45,0.017692628250164502,0.0014079311714109528,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,CD68,0.005850248781989947,0.00022853445326964384,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,Carbonic Anhydrase IX,0.10667306698562007,0.007061432573054664,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Cytokeratin 19,0.003730397493694744,0.0001941578507249301,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,Cytokeratin 5,0.06571652225386883,0.008701328869986383,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Cytokeratin 7,0.0863528783337288,0.010861237221758345,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Cytokeratin 8/18,0.027085973813692054,0.0022053227413901776,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,DNA1,0.018622573422546425,0.00010533805955844033,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,EGFR,0.053341350077224195,-0.0062238825415007444,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Ecadherin,0.13906905828737193,-0.0020985949760632013,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Estrogen,0.04234425078327662,0.0010896328307085014,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,Fibronectin,0.047809948207170216,0.010331489050922302,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,GATA3,0.07046528674055864,0.0007587812105956023,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Histone H3,0.06023886260146593,0.0020567461423152728,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Keratin 14 (KRT14),0.016493853888803752,0.0036834231577556067,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,Ki-67,0.10952993933841274,-0.013502643548666853,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Progesterone Receptor A/B,0.14991646156241736,-0.009133102194786073,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,SMA,0.05492248991039994,0.0031151818871531373,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Slug,0.04504189807644593,0.012630865670080945,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,Twist,0.06297508744627221,0.003856333439522343,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,Vimentin,0.15465679500077512,-0.023610664550525278,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,c-Myc,0.045905857968692926,-0.008312585645450437,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,c-erbB-2 - Her2,0.1725185349230233,-0.017428138067417397,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,cleaved PARP,0.07696065373947292,-0.005835394152325661,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,p53,0.08753497694307188,0.001527550658054151,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,pan Cytokeratin,0.08247449173485992,-0.009029197217645784,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,phospho-Histone,0.06758216513420827,0.009009118228877696,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,phospho-S6,0.009802656964321036,0.0005410801320824441,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,phospho-mTOR,0.03482000086503428,0.0029322980215397026,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,vWF,0.16640487581100905,0.007745987714776559,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,1,CD20,0.031820517052679645,0.0023792859771304617,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,CD3,0.03541523418588974,0.0015066400447030321,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,CD44,0.05982516977111775,0.0012141734716042552,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,CD45,0.01174597117200596,0.0025197297743139156,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,CD68,0.024292242294721704,0.000953672258949678,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,Carbonic Anhydrase IX,0.11569700903063616,0.010764987086887733,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Cytokeratin 19,0.007886491534624177,-0.0018975827928138006,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,Cytokeratin 5,0.018418467633787176,0.0008308864817593851,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,Cytokeratin 7,0.007708838409838895,-0.0019901795185545503,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,Cytokeratin 8/18,0.01202993822865038,0.0040032491292130755,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,DNA1,0.06734435565837965,0.0004024193637477878,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,EGFR,0.04724173535052001,-0.006481723648657067,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Ecadherin,0.1767071319552906,-0.04123845787208885,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Estrogen,0.017206706285491348,0.001940952435305246,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,Fibronectin,0.02291177768231751,-0.0007458250748644849,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,GATA3,0.042842605124964635,0.007040901511041335,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Histone H3,0.06792795475105329,-0.007809939788979527,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Keratin 14 (KRT14),0.03274581459627857,-0.000649024896281311,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,Ki-67,0.047494195580371136,-0.004125727286137699,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Progesterone Receptor A/B,0.014343845381998245,-0.0004322736384347151,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,SMA,0.039466169520518395,-0.005387845148431203,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Slug,0.00043745232767344584,3.824966593749127e-06,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,Twist,0.15226599963541937,-0.04275554343774461,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,Vimentin,0.16970773523977628,-0.019092426699403597,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,c-Myc,0.06745085301071778,0.004123894005876672,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,c-erbB-2 - Her2,0.16198655650353966,0.01291711440270524,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,cleaved PARP,0.10578780080850371,0.003262787264462244,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,p53,0.17160767201448066,0.03430332690917883,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,pan Cytokeratin,0.08872083351880024,0.02663748653357571,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,phospho-Histone,0.0230080160963625,0.0007317972517868176,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,phospho-S6,0.045110383868995914,0.0027954155953264846,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,phospho-mTOR,0.06316210271702476,-0.015452494658585905,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,vWF,0.22683132387694235,-0.04760132699310963,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,2,CD20,0.027802988451572752,0.0041746649169758536,-0.9999999999999999,False,74
bc_jackson2020,OS,cv,cox,risk,0,2,CD3,0.07911298326873782,-0.0008497160766939517,-0.9999999999999999,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,CD44,0.08834295374265211,0.0022253201108447572,0.9999999999999999,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,CD45,0.0015868433094826848,0.0001573690633539275,-0.9999999999999999,False,74
bc_jackson2020,OS,cv,cox,risk,0,2,CD68,0.022839796895398612,-0.000286266799339653,-0.9999999999999999,False,74
bc_jackson2020,OS,cv,cox,risk,0,2,Carbonic Anhydrase IX,0.04005579084592587,-0.00012331566763002064,0.9999999999999999,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Cytokeratin 19,0.03706975484250633,0.003723959675418227,-0.9999999999999999,False,74
bc_jackson2020,OS,cv,cox,risk,0,2,Cytokeratin 5,0.022607061516728987,-0.00563415143711937,0.9999999999999999,False,74
bc_jackson2020,OS,cv,cox,risk,0,2,Cytokeratin 7,0.04222760333413362,0.008940587957094027,-0.9999999999999999,True,74
bc_jackson2020,OS,cv,cox,risk,0,2,Cytokeratin 8/18,0.03468824071533222,-0.004529917665449458,0.9999999999999999,False,74
