dataset,task,scheme,metric,mean,sd,n,k_values,score
bc_jackson2020,OS,cv,c_index,0.44213375037790004,0.062060435341533444,15,2,0.442 ± 0.062
bc_jackson2020,DFS,cv,c_index,0.5052371696885078,0.048670474277600656,15,2,0.505 ± 0.049
bc_jackson2020,response,cv,auc_roc,0.564477098658622,0.09010422824851559,15,2,0.564 ± 0.090
bc_jackson2020,clinical_type,cv,balanced_acc,0.2629685417481226,0.07100607741773217,15,2,0.263 ± 0.071
bc_jackson2020,clinical_type,Basel_to_Zurich,balanced_acc,0.33052747461237514,0.0,3,2,0.331 ± 0.000
bc_metabric_ali2020,DSS,cv,c_index,0.5367766665441525,0.05193313224461599,15,2,0.537 ± 0.052
bc_metabric_ali2020,OS,cv,c_index,0.49546345832756916,0.050994374693136765,15,2,0.495 ± 0.051
bc_metabric_ali2020,ER_status,cv,auc_roc,0.5763408016134116,0.05822635284703595,15,2,0.576 ± 0.058
crc_schurch2020,CLR_DII,cv,auc_roc,0.6732638888888888,0.08617878884903624,15,2,0.673 ± 0.086
crc_schurch2020,OS,cv,c_index,0.605581191344059,0.10506114629912086,15,2,0.606 ± 0.105
crc_schurch2020,DFS,cv,c_index,0.3603315203315204,0.1338722199085281,15,2,0.360 ± 0.134
crc_wu2022,primary_outcome,cv,auc_roc,0.49895904383011874,0.1052798589036345,15,2,0.499 ± 0.105
crc_wu2022,DFS,cv,c_index,0.534206906664907,0.10208615563472354,15,2,0.534 ± 0.102
hnc_wu2022,primary_outcome,cv,auc_roc,0.601066225324967,0.08662240334847673,15,2,0.601 ± 0.087
hnc_wu2022,hpv_status,cv,auc_roc,0.705768659129814,0.11151012207432263,15,2,0.706 ± 0.112
hnc_wu2022,OS,cv,c_index,0.5571251968850894,0.08986066994771189,15,2,0.557 ± 0.090
hnc_wu2022,primary_outcome,UPMC_to_DFCI,auc_roc,0.6012121212121212,0.0,3,2,0.601 ± 0.000
hnc_wu2022,OS,UPMC_to_DFCI,c_index,0.5126676602086438,0.0,3,2,0.513 ± 0.000
luad_sorin2023,progression,cv,auc_roc,0.47871417797888394,0.09208796557054011,15,2,0.479 ± 0.092
luad_sorin2023,OS,cv,c_index,0.5319263511473328,0.04460015564717589,15,2,0.532 ± 0.045
luad_sorin2023,progression,Discovery_to_Validation,auc_roc,0.5944444444444444,0.0,3,2,0.594 ± 0.000
nsclc_aung2025,immunotherapy_response,cv,auc_roc,0.49333333333333335,0.25485756993344527,15,2,0.493 ± 0.255
nsclc_aung2025,PFS,cv,c_index,0.5817740429505135,0.18847120780451168,15,2,0.582 ± 0.188
nsclc_aung2025,immunotherapy_response,Yale_to_UQ,auc_roc,0.5,0.0,3,2,0.500 ± 0.000
nsclc_aung2025,immunotherapy_response,Yale_to_YaleExt,auc_roc,0.49444444444444446,0.0,3,2,0.494 ± 0.000
nsclc_gnn_hoebel2026,OS,cv,c_index,0.7017677611883968,0.03969005073343609,15,2,0.702 ± 0.040
nsclc_gnn_hoebel2026,stage_binary,cv,auc_roc,0.7648890105682392,0.0440982515255574,15,2,0.765 ± 0.044
nsclc_ici_monkman2024,immunotherapy_response,cv,auc_roc,0.7011111111111111,0.1550046935626629,15,2,0.701 ± 0.155
nsclc_ici_monkman2024,OS,cv,c_index,0.6054377104377104,0.17528695284749388,15,2,0.605 ± 0.175
tnbc_wang2023,pCR_arm_C,cv,auc_roc,0.5500654389165296,0.05839826976501646,15,2,0.550 ± 0.058
tnbc_wang2023,pCR_arm_CI,cv,auc_roc,0.6454966070389203,0.07613132917578236,15,2,0.645 ± 0.076
tnbc_wang2023,pCR_all,cv,auc_roc,0.6002832085494256,0.058768659945511996,15,2,0.600 ± 0.059
