dataset,task,class,feature,coefficient_mean,coefficient_sd,fold_selection_frequency,n_fold_models,seed_selection_frequency,bootstrap_coefficient_mean,bootstrap_coefficient_sd,ci_low,ci_high,n_bootstrap_fits,bootstrap_selection_frequency,direction,bootstrap_ci_direction
BC-Jackson2020,response,1,B cell,0.34547746871973156,0.1591209247242853,1.0,15,1.0,0.428636677503368,0.44759425271051456,-0.17162932714225423,1.573004992533828,3000,0.9333333333333333,positive,crosses zero
BC-Jackson2020,response,1,Endothelial,0.03987284584560788,0.09942772862894804,0.6666666666666666,15,0.6666666666666666,0.09745964503019068,0.2913641218004465,-0.38093813515676744,0.8045954937644884,3000,0.868,positive,crosses zero
BC-Jackson2020,response,1,Macrophage,-0.018696921656178582,0.04389139051488857,0.6666666666666666,15,1.0,-0.035434401227903554,0.20777250679349082,-0.5040596575811531,0.3558040022484699,3000,0.8296666666666667,negative,crosses zero
BC-Jackson2020,response,1,Stroma (Fibronectin hi),-0.44735174484023565,0.10895656228532172,1.0,15,1.0,-0.5237450543901853,0.3290542271582432,-1.2452924603152524,0.0,3000,0.9703333333333334,negative,crosses zero
BC-Jackson2020,response,1,Stroma (Large elongated),-0.38031399310605457,0.06652909295169702,1.0,15,1.0,-0.458870367999817,0.2830026100339586,-1.1436096025953173,-0.007840628627758146,3000,0.9863333333333333,negative,negative
BC-Jackson2020,response,1,Stroma (SMA hi Vimentin hi),0.2055688749211928,0.08701146644771501,1.0,15,1.0,0.34361866260379514,0.43529538122372113,-0.17724009823732065,1.5479309570739694,3000,0.934,positive,crosses zero
BC-Jackson2020,response,1,Stroma (Small circular),0.2881900504680465,0.07729108008164165,1.0,15,1.0,0.3168115056102084,0.2896077161485547,-0.06966095441130996,0.9944071357993018,3000,0.9033333333333333,positive,crosses zero
BC-Jackson2020,response,1,Stroma (Small elongated),0.1866119834626914,0.09666023114670824,0.8666666666666667,15,1.0,0.23113015557782832,0.2790931111842685,-0.24185806360304632,0.8466761290862923,3000,0.8656666666666667,positive,crosses zero
BC-Jackson2020,response,1,Stroma (Vimentin hi),-0.06395652165198913,0.08481307481719488,0.6,15,0.6666666666666666,-0.09354251325048982,0.2050044004732694,-0.613244522490056,0.2550291271589054,3000,0.7433333333333333,negative,crosses zero
BC-Jackson2020,response,1,T & B cells,-0.6061429575495492,0.28446778382632054,1.0,15,1.0,-0.5950452813899526,0.5075514410988541,-1.9420248952452377,0.0,3000,0.9726666666666667,negative,crosses zero
BC-Jackson2020,response,1,T cell,0.08596031493974719,0.07849326541767425,0.9333333333333333,15,1.0,0.07916012294784003,0.2065745099338411,-0.35398309793799637,0.5215839204706444,3000,0.7853333333333333,positive,crosses zero
BC-Jackson2020,response,1,Tumor (Apoptotic),0.49575909354071385,0.18805045588861535,1.0,15,1.0,0.47826381999690565,0.42557072759544234,-0.2594079564497801,1.4742098528078686,3000,0.956,positive,crosses zero
BC-Jackson2020,response,1,Tumor (Basal CK),-0.009136924875209918,0.05612594381259795,0.6,15,0.6666666666666666,-0.03550472216226423,0.192725606936485,-0.44092877873023417,0.3424085261842155,3000,0.8436666666666667,negative,crosses zero
BC-Jackson2020,response,1,Tumor (CK lo HR hi p53+),-0.2943099430977816,0.06232751886624735,1.0,15,1.0,-0.3132572179963015,0.1865692000094224,-0.6844365882085957,0.0548523207755146,3000,0.9833333333333333,negative,crosses zero
BC-Jackson2020,response,1,Tumor (CK lo HR lo),-0.18159683548157207,0.09576095500222027,1.0,15,1.0,-0.23122357535489554,0.24079552616018293,-0.760393516748047,0.09217221658837668,3000,0.852,negative,crosses zero
BC-Jackson2020,response,1,Tumor (CK+ HR hi),-0.027491235578204584,0.04824625996182515,0.6666666666666666,15,1.0,-0.053708074172534655,0.1784701502456952,-0.46214450137009333,0.29033371363568805,3000,0.751,negative,crosses zero
BC-Jackson2020,response,1,Tumor (CK+ HR lo),0.051043711941799456,0.06559355080461653,0.7333333333333333,15,1.0,0.04683332800024609,0.16960386370283295,-0.25923518449951244,0.4576076223124364,3000,0.677,positive,crosses zero
BC-Jackson2020,response,1,Tumor (CK+ HR+),-0.11417739122166067,0.10112395792811733,0.7333333333333333,15,1.0,-0.14066359510874712,0.20296745469254315,-0.5812558993020307,0.19827542117912736,3000,0.85,negative,crosses zero
BC-Jackson2020,response,1,Tumor (CK7+ CK hi Ecadh hi),0.20236988550957877,0.11698999579760713,1.0,15,1.0,0.23270104270652747,0.3203173934606557,-0.2517099823761546,1.0344573722707462,3000,0.8726666666666667,positive,crosses zero
BC-Jackson2020,response,1,Tumor (CK7+),0.3693270583025335,0.23647792063076806,1.0,15,1.0,0.5460074372776962,0.5670101735715131,0.0,2.1401373999607864,3000,0.968,positive,crosses zero
BC-Jackson2020,response,1,Tumor (Epithelial low),-0.25668433045355765,0.10354700727108569,1.0,15,1.0,-0.36233973467141267,0.40464908092171026,-1.429064917653956,0.10709750370328192,3000,0.9136666666666666,negative,crosses zero
