dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,0,1.0,179,40,1,B cell,0.4242627787490612,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Endothelial,-0.010458911784085975,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Macrophage,-0.02193963800412644,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Stroma (Fibronectin hi),-0.4738169445212388,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Stroma (Large elongated),-0.33932429700483435,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Stroma (SMA hi Vimentin hi),0.2350227181015,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Stroma (Small circular),0.2226951087524889,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Stroma (Small elongated),0.14636946028754982,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Stroma (Vimentin hi),-0.11090133534231446,True
BC-Jackson2020,response,0,0,1.0,179,40,1,T & B cells,-0.7210185184582517,True
BC-Jackson2020,response,0,0,1.0,179,40,1,T cell,0.09654822839325519,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (Apoptotic),0.5794597493698442,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (Basal CK),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (CK lo HR hi p53+),-0.35114824699795233,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (CK lo HR lo),-0.05439763293933522,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (CK+ HR hi),-0.048728601293664596,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (CK+ HR lo),0.060376869736352215,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (CK+ HR+),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (CK7+ CK hi Ecadh hi),0.18291116567658636,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (CK7+),0.19648362070609054,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (Epithelial low),-0.20752909100973532,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (Hypoxic),-0.2753371492229634,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (Myoepithelial),0.17539926387776697,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (Proliferative),-0.03457691053492591,True
BC-Jackson2020,response,0,0,1.0,179,40,1,Tumor (p53+ EGFR+),-0.2864371665947798,True
BC-Jackson2020,response,0,1,1.0,177,42,1,B cell,0.5072404728508899,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Endothelial,0.0213219476058797,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Macrophage,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,Stroma (Fibronectin hi),-0.35754289194823874,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Stroma (Large elongated),-0.29676449609308775,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Stroma (SMA hi Vimentin hi),0.07916791474566741,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Stroma (Small circular),0.20448938792403226,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Stroma (Small elongated),0.0943254258057025,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Stroma (Vimentin hi),-0.015249591039986443,True
BC-Jackson2020,response,0,1,1.0,177,42,1,T & B cells,-0.6570818665862174,True
BC-Jackson2020,response,0,1,1.0,177,42,1,T cell,0.12342451026221073,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (Apoptotic),0.28628704714872716,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (Basal CK),0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (CK lo HR hi p53+),-0.22253484635558057,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (CK lo HR lo),-0.213569249030732,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (CK+ HR hi),-0.13195275141593352,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (CK+ HR lo),0.025890047848165,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (CK+ HR+),0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (CK7+ CK hi Ecadh hi),0.1684486600237228,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (CK7+),1.1517402232314908,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (Epithelial low),-0.21002759713693367,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (Hypoxic),-1.609069739100785,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (Myoepithelial),0.19367065310280565,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (Proliferative),-0.2039461908931919,True
BC-Jackson2020,response,0,1,1.0,177,42,1,Tumor (p53+ EGFR+),-0.17492641073077186,True
BC-Jackson2020,response,0,2,1.0,175,44,1,B cell,0.33220637192698554,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Endothelial,-0.055082004540652076,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Macrophage,-0.03195764299923119,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Stroma (Fibronectin hi),-0.6328153835595434,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Stroma (Large elongated),-0.3645108841779388,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Stroma (SMA hi Vimentin hi),0.17177846219991286,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Stroma (Small circular),0.29264620672053243,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Stroma (Small elongated),0.25950093120161405,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Stroma (Vimentin hi),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,T & B cells,-1.0755681962722654,True
BC-Jackson2020,response,0,2,1.0,175,44,1,T cell,0.046401853773077,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (Apoptotic),0.42746732049710856,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (Basal CK),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (CK lo HR hi p53+),-0.3462090959211481,True
