dataset,task,class,feature,seed,coefficient_mean,coefficient_sd,fold_selection_frequency,n_folds,selected
BC-Jackson2020,response,1,B cell,0,0.35031113225133925,0.16843839409588002,1.0,5,True
BC-Jackson2020,response,1,B cell,1,0.33679708828645927,0.164938019756731,1.0,5,True
BC-Jackson2020,response,1,B cell,2,0.3493241856213962,0.18138414830922855,1.0,5,True
BC-Jackson2020,response,1,Endothelial,0,0.035723120129320926,0.10825038135620292,0.8,5,True
BC-Jackson2020,response,1,Endothelial,1,0.048218302017472625,0.13424833965136906,0.4,5,False
BC-Jackson2020,response,1,Endothelial,2,0.03567711539003008,0.06876922086087903,0.8,5,True
BC-Jackson2020,response,1,Macrophage,0,-0.023508087595508854,0.038043300976193475,0.8,5,True
BC-Jackson2020,response,1,Macrophage,1,-0.007442767336480555,0.028461653195992625,0.6,5,True
BC-Jackson2020,response,1,Macrophage,2,-0.025139910036546337,0.0651620046869435,0.6,5,True
BC-Jackson2020,response,1,Stroma (Fibronectin hi),0,-0.45496521748547253,0.12992363033971796,1.0,5,True
BC-Jackson2020,response,1,Stroma (Fibronectin hi),1,-0.4444595003504935,0.12387576385733363,1.0,5,True
BC-Jackson2020,response,1,Stroma (Fibronectin hi),2,-0.44263051668474096,0.09599080157352592,1.0,5,True
BC-Jackson2020,response,1,Stroma (Large elongated),0,-0.3812260837328253,0.0787150184661633,1.0,5,True
BC-Jackson2020,response,1,Stroma (Large elongated),1,-0.37812343222125844,0.04932583527913447,1.0,5,True
BC-Jackson2020,response,1,Stroma (Large elongated),2,-0.38159246336408004,0.082784342617877,1.0,5,True
BC-Jackson2020,response,1,Stroma (SMA hi Vimentin hi),0,0.2041287851152011,0.08355828587401518,1.0,5,True
BC-Jackson2020,response,1,Stroma (SMA hi Vimentin hi),1,0.19431685229394824,0.06966001672375598,1.0,5,True
BC-Jackson2020,response,1,Stroma (SMA hi Vimentin hi),2,0.21826098735442906,0.11958998273827014,1.0,5,True
BC-Jackson2020,response,1,Stroma (Small circular),0,0.25790370971390364,0.08619077958046305,1.0,5,True
BC-Jackson2020,response,1,Stroma (Small circular),1,0.29469023432963465,0.09685797152180962,1.0,5,True
BC-Jackson2020,response,1,Stroma (Small circular),2,0.3119762073606013,0.04681614540798165,1.0,5,True
BC-Jackson2020,response,1,Stroma (Small elongated),0,0.16545776987178623,0.13016385992561358,0.8,5,True
BC-Jackson2020,response,1,Stroma (Small elongated),1,0.18931920032794708,0.11158443766902834,0.8,5,True
BC-Jackson2020,response,1,Stroma (Small elongated),2,0.20505898018834082,0.04809970902222897,1.0,5,True
BC-Jackson2020,response,1,Stroma (Vimentin hi),0,-0.0813919462441821,0.07358960178300447,0.8,5,True
BC-Jackson2020,response,1,Stroma (Vimentin hi),1,-0.06823717922046442,0.12250271142985167,0.6,5,True
BC-Jackson2020,response,1,Stroma (Vimentin hi),2,-0.04224043949132088,0.0613324967382406,0.4,5,False
BC-Jackson2020,response,1,T & B cells,0,-0.6217423289864906,0.322845364396105,1.0,5,True
BC-Jackson2020,response,1,T & B cells,1,-0.5910251924239167,0.33284541137544804,1.0,5,True
BC-Jackson2020,response,1,T & B cells,2,-0.60566135123824,0.26004110058149105,1.0,5,True
BC-Jackson2020,response,1,T cell,0,0.060926075306599645,0.047709914814071594,1.0,5,True
BC-Jackson2020,response,1,T cell,1,0.09828233800997763,0.07857127070433859,1.0,5,True
BC-Jackson2020,response,1,T cell,2,0.09867253150266428,0.10926715715837541,0.8,5,True
BC-Jackson2020,response,1,Tumor (Apoptotic),0,0.46616781980052213,0.14668022934465128,1.0,5,True
BC-Jackson2020,response,1,Tumor (Apoptotic),1,0.5083733162738919,0.21489480191655896,1.0,5,True
BC-Jackson2020,response,1,Tumor (Apoptotic),2,0.5127361445477276,0.23328483735836697,1.0,5,True
BC-Jackson2020,response,1,Tumor (Basal CK),0,-0.02791594684267734,0.041704318864110496,0.4,5,False
BC-Jackson2020,response,1,Tumor (Basal CK),1,0.006626108232478017,0.07752568155589443,0.8,5,True
BC-Jackson2020,response,1,Tumor (Basal CK),2,-0.006120936015430428,0.05013150350680746,0.6,5,True
BC-Jackson2020,response,1,Tumor (CK lo HR hi p53+),0,-0.308701330418504,0.06083465812566946,1.0,5,True
BC-Jackson2020,response,1,Tumor (CK lo HR hi p53+),1,-0.29219738495989117,0.062439273756079376,1.0,5,True
BC-Jackson2020,response,1,Tumor (CK lo HR hi p53+),2,-0.28203111391494956,0.07445850770981133,1.0,5,True
BC-Jackson2020,response,1,Tumor (CK lo HR lo),0,-0.20939115037714995,0.14793805695780396,1.0,5,True
BC-Jackson2020,response,1,Tumor (CK lo HR lo),1,-0.1656276638709134,0.04831304106840856,1.0,5,True
BC-Jackson2020,response,1,Tumor (CK lo HR lo),2,-0.16977169219665278,0.08010323109188307,1.0,5,True
BC-Jackson2020,response,1,Tumor (CK+ HR hi),0,-0.0435827037387448,0.06580191270226848,0.8,5,True
BC-Jackson2020,response,1,Tumor (CK+ HR hi),1,-0.019268413205320644,0.02332230992256065,0.6,5,True
BC-Jackson2020,response,1,Tumor (CK+ HR hi),2,-0.019622589790548307,0.052797268568804824,0.6,5,True
BC-Jackson2020,response,1,Tumor (CK+ HR lo),0,0.022589103514046513,0.02414329955155382,0.8,5,True
BC-Jackson2020,response,1,Tumor (CK+ HR lo),1,0.051686502634309274,0.06675499234838489,0.6,5,True
BC-Jackson2020,response,1,Tumor (CK+ HR lo),2,0.0788555296770426,0.08966717264638414,0.8,5,True
BC-Jackson2020,response,1,Tumor (CK+ HR+),0,-0.12982445155553898,0.13471513751953387,0.6,5,True
BC-Jackson2020,response,1,Tumor (CK+ HR+),1,-0.10942951309474194,0.06032906929948867,1.0,5,True
BC-Jackson2020,response,1,Tumor (CK+ HR+),2,-0.10327820901470111,0.11627863468622072,0.6,5,True
BC-Jackson2020,response,1,Tumor (CK7+ CK hi Ecadh hi),0,0.19256439795481817,0.1131650891924363,1.0,5,True
BC-Jackson2020,response,1,Tumor (CK7+ CK hi Ecadh hi),1,0.19546776740674154,0.10302604779592037,1.0,5,True
BC-Jackson2020,response,1,Tumor (CK7+ CK hi Ecadh hi),2,0.21907749116717662,0.15477060230556644,1.0,5,True
BC-Jackson2020,response,1,Tumor (CK7+),0,0.4277552282134837,0.41254574736842525,1.0,5,True
BC-Jackson2020,response,1,Tumor (CK7+),1,0.3434470243802129,0.12015382719412243,1.0,5,True
BC-Jackson2020,response,1,Tumor (CK7+),2,0.33677892231390383,0.06831272216938614,1.0,5,True
BC-Jackson2020,response,1,Tumor (Epithelial low),0,-0.24342921959166458,0.03181649756744643,1.0,5,True
BC-Jackson2020,response,1,Tumor (Epithelial low),1,-0.26676672608456153,0.12964307468739347,1.0,5,True
BC-Jackson2020,response,1,Tumor (Epithelial low),2,-0.2598570456844468,0.13909726699503014,1.0,5,True
BC-Jackson2020,response,1,Tumor (Hypoxic),0,-0.5570777809423568,0.5895984124214321,1.0,5,True
BC-Jackson2020,response,1,Tumor (Hypoxic),1,-0.4489366124477532,0.4125639503587214,1.0,5,True
BC-Jackson2020,response,1,Tumor (Hypoxic),2,-0.45056061691903315,0.4504216675279583,1.0,5,True
BC-Jackson2020,response,1,Tumor (Myoepithelial),0,0.14687518787490442,0.0541310181844672,1.0,5,True
BC-Jackson2020,response,1,Tumor (Myoepithelial),1,0.16656758553421955,0.08707827351656611,1.0,5,True
BC-Jackson2020,response,1,Tumor (Myoepithelial),2,0.18319434553332964,0.09794457258475703,1.0,5,True
BC-Jackson2020,response,1,Tumor (Proliferative),0,-0.15233396281984163,0.06896970707319285,1.0,5,True
BC-Jackson2020,response,1,Tumor (Proliferative),1,-0.16300849994897787,0.036700911348596425,1.0,5,True
BC-Jackson2020,response,1,Tumor (Proliferative),2,-0.11859694528941453,0.20664245331589584,1.0,5,True
BC-Jackson2020,response,1,Tumor (p53+ EGFR+),0,-0.21401633017968552,0.12018025809415815,1.0,5,True
BC-Jackson2020,response,1,Tumor (p53+ EGFR+),1,-0.25311809915554556,0.19386132253979624,1.0,5,True
BC-Jackson2020,response,1,Tumor (p53+ EGFR+),2,-0.24436055135403195,0.14202702090572047,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,B cell,0,-0.040691337575333233,0.1327669895772982,0.4,5,False
BC-Jackson2020,clinical_type,HR+HER2+,B cell,1,-0.005575748888054579,0.07322840350350977,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,B cell,2,-0.01117805982458345,0.02448350884970282,0.4,5,False
BC-Jackson2020,clinical_type,HR+HER2+,Endothelial,0,-0.1152541233564354,0.14548000047755913,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2+,Endothelial,1,-0.15087635428094898,0.21212422727661384,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,Endothelial,2,-0.1742574732832261,0.2751886727310025,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2+,Macrophage,0,-0.17355079373730012,0.2202626132469215,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,Macrophage,1,-0.162811103023814,0.1207976975716352,1.0,5,True
BC-Jackson2020,clinical_type,HR+HER2+,Macrophage,2,-0.16060335664491845,0.19949719268473243,0.8,5,True
