dataset,task,class,feature,coefficient_mean,coefficient_sd,fold_selection_frequency,n_fold_models,seed_selection_frequency,bootstrap_coefficient_mean,bootstrap_coefficient_sd,ci_low,ci_high,n_bootstrap_fits,bootstrap_selection_frequency,direction,bootstrap_ci_direction
BC-Jackson2020,response,1,utag_0000,-0.040389042782286805,0.19719306522338248,0.8666666666666667,15,1.0,-0.05779117826537792,0.3271242316169941,-0.885629712045192,0.44947237223386816,3000,0.7623333333333333,negative,crosses zero
BC-Jackson2020,response,1,utag_0001,0.02991252640883128,0.28084429678465295,0.8666666666666667,15,1.0,0.033539097190233104,0.29204105303702965,-0.4721065491437912,0.7370749458670619,3000,0.818,positive,crosses zero
BC-Jackson2020,response,1,utag_0002,-0.05330937473724286,0.12796410270159497,0.9333333333333333,15,1.0,-0.04737963786283217,0.23936052036920183,-0.4979594491422176,0.4883938610553744,3000,0.8443333333333334,negative,crosses zero
BC-Jackson2020,response,1,utag_0003,-0.026435831002891062,0.14354670123679839,0.8,15,1.0,-0.016269378503173358,0.23624324978605685,-0.5021008849143982,0.5057258382439614,3000,0.8103333333333333,negative,crosses zero
BC-Jackson2020,response,1,utag_0004,-0.02905274061098074,0.09595622378085232,0.6,15,1.0,-0.02270061106195984,0.2412159710530824,-0.4810794398188584,0.42705186903476716,3000,0.806,negative,crosses zero
BC-Jackson2020,response,1,utag_0005,-0.06636866244177024,0.12185795588516708,0.6666666666666666,15,0.6666666666666666,-0.06654897767075939,0.2609815010573349,-0.5788557484745979,0.41714124977588657,3000,0.8546666666666667,negative,crosses zero
BC-Jackson2020,response,1,utag_0006,-0.037599233041207,0.15127850943415094,0.7333333333333333,15,1.0,-0.04103806888396502,0.3103520274156826,-0.6910801261663436,0.5576312392950066,3000,0.8643333333333333,negative,crosses zero
BC-Jackson2020,response,1,utag_0007,-0.043979525379836557,0.16504311121349138,0.9333333333333333,15,1.0,-0.038165969653758416,0.26188692057630225,-0.5780181735754009,0.47601093947887435,3000,0.819,negative,crosses zero
BC-Jackson2020,response,1,utag_0008,-0.01756344089905421,0.14664853006673848,0.7333333333333333,15,1.0,-0.02315775015906062,0.3156763957188359,-0.6958676308393474,0.5504162952303893,3000,0.854,negative,crosses zero
BC-Jackson2020,response,1,utag_0009,-0.07611419260501862,0.2779977901395885,0.7333333333333333,15,0.6666666666666666,-0.08619761535603902,0.3986155204611302,-0.9489176243543624,0.5866557493805888,3000,0.8736666666666667,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,utag_0000,-0.10192171471814314,0.3308416655445928,0.7333333333333333,15,1.0,-0.15958668604683043,0.583237366993595,-1.6381534606218338,0.4835917167365552,3000,0.7363333333333333,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,utag_0001,0.08368441970087588,0.18609225191711137,0.9333333333333333,15,1.0,0.06176429382475423,0.29843599109025987,-0.5461460277438164,0.6884507507085805,3000,0.7953333333333333,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,utag_0002,-0.01739142189010939,0.24274124667502645,0.8666666666666667,15,1.0,-0.07705408004481676,0.41836124677072883,-1.2376420974731437,0.4856750078499318,3000,0.715,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,utag_0003,-0.08290439611300826,0.47090015971600163,0.6666666666666666,15,0.6666666666666666,-0.16641374739209702,0.6983262158628339,-2.251520138978958,0.5808624401688576,3000,0.7376666666666667,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,utag_0004,-0.127281589487878,0.3136844570986865,0.7333333333333333,15,1.0,-0.25399268081767573,0.664772558168296,-2.174273753166198,0.4955381326377392,3000,0.819,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,utag_0005,-0.1409826722034874,0.5619086278518403,0.7333333333333333,15,0.6666666666666666,-0.14458256097694053,0.6522991845297212,-2.2209141790866846,0.6936295524239543,3000,0.8076666666666666,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,utag_0006,-0.046800490672467276,0.4112302675776514,0.8666666666666667,15,1.0,-0.16085835358430933,0.7179923890355326,-2.391570901870727,0.7615748628973964,3000,0.8326666666666667,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,utag_0007,-0.48472208604216577,1.159525585671552,0.6666666666666666,15,1.0,-0.5551662330725436,1.1776664835821262,-4.063158512115478,0.709889374673367,3000,0.733,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,utag_0008,-0.09146411214023828,0.37303065873624236,0.8,15,1.0,-0.15704948902173296,0.604545777735068,-1.8048868089914316,0.6913278564810755,3000,0.785,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2+,utag_0009,-0.0012846544695397219,0.25264048623229834,0.8666666666666667,15,1.0,-0.06000255811089543,0.4571424370892765,-1.0340181499719616,0.6596483245491983,3000,0.8406666666666667,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,utag_0000,0.0589279600729545,0.1634699626230417,0.9333333333333333,15,1.0,0.056277192030099586,0.25295866729710514,-0.4615998566150665,0.6190829351544381,3000,0.787,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,utag_0001,0.0024873859588600074,0.16284558491752094,0.6666666666666666,15,1.0,-0.015819676408005155,0.20214597387007063,-0.4533192612230776,0.4075257204473019,3000,0.7426666666666667,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,utag_0002,0.05747175277210772,0.1403207559034491,0.6666666666666666,15,0.6666666666666666,0.04189393472993106,0.2276453684696985,-0.3550462402403354,0.5674337908625604,3000,0.6786666666666666,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,utag_0003,-0.01992523285249869,0.19585599172769957,0.6,15,0.6666666666666666,-0.030106103490508757,0.2587062919300126,-0.5584389492869377,0.5825276941061021,3000,0.7106666666666667,negative,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,utag_0004,0.09583971533769121,0.13563931984177408,0.9333333333333333,15,1.0,0.1325322520324868,0.2538034181105973,-0.25842991396784776,0.7262656927108767,3000,0.8423333333333334,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,utag_0005,0.12244207837308446,0.2103436703735959,0.8666666666666667,15,1.0,0.15830942095853,0.34125887987147285,-0.33076093643903726,1.030234417319298,3000,0.842,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,utag_0006,0.0028007871160904566,0.29528646578887047,0.8666666666666667,15,1.0,-0.011552456881200972,0.3818171854677772,-0.7039403483271593,0.8456879243254664,3000,0.8443333333333334,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,utag_0007,0.11884797289967537,0.3538491262124519,0.8,15,1.0,0.1940028331169172,0.5207305710890011,-0.8232276514172553,1.4313915133476263,3000,0.7666666666666667,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,utag_0008,0.035404291624824204,0.19432913080406097,0.8,15,1.0,0.05255868833479447,0.3040854367006536,-0.4533807605504989,0.7693272411823273,3000,0.8186666666666667,positive,crosses zero
BC-Jackson2020,clinical_type,HR+HER2-,utag_0009,0.00871525208155314,0.1918357594240481,0.8,15,1.0,0.014314807643372358,0.27809493348666,-0.5253306105732917,0.5945093795657159,3000,0.863,positive,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,utag_0000,0.12505323936541876,0.2229850266275688,0.8,15,1.0,0.14740640977326622,0.33350076382931854,-0.5385121375322341,0.8216941326856616,3000,0.8146666666666667,positive,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,utag_0001,-0.0030325388458246985,0.16249810149028687,0.8,15,1.0,-0.02175986029656512,0.34504427918562847,-0.8413622081279749,0.5381178736686707,3000,0.782,negative,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,utag_0002,-0.03934854194521904,0.17293179827703337,0.8666666666666667,15,1.0,-0.06749373895512023,0.4091098443822098,-0.9799775302410125,0.48840345814824115,3000,0.742,negative,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,utag_0003,0.04891805003086726,0.2490853073332607,0.6666666666666666,15,0.6666666666666666,0.04081136316437066,0.36540100137584935,-0.7371201321482651,0.7511006683111205,3000,0.763,positive,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,utag_0004,-0.08798687066882849,0.38961269350339356,0.9333333333333333,15,1.0,-0.113902609888175,0.562705295196445,-1.7690370202064505,0.5975769102573396,3000,0.8413333333333334,negative,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,utag_0005,-0.46388531600435573,0.9952942734799349,0.8,15,1.0,-0.5460817388244802,1.0756232396437821,-3.3573868811130505,0.5924314603209496,3000,0.8676666666666667,negative,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,utag_0006,-0.02181444689631462,0.5540731680904648,0.8666666666666667,15,1.0,-0.056274215897654356,0.7560729104790641,-2.2668419301509855,0.7753045216202737,3000,0.858,negative,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,utag_0007,-0.16004803627729416,0.8477195789058961,0.7333333333333333,15,1.0,-0.1641384336578182,0.9161793819573294,-3.020846998691557,1.181171581149102,3000,0.7223333333333334,negative,crosses zero
BC-Jackson2020,clinical_type,HR-HER2+,utag_0008,-0.24162970528316993,0.6447869672669184,0.8,15,1.0,-0.2605380112575464,0.7019705037577516,-2.150317960977554,0.5430002868175507,3000,0.844,negative,crosses zero
