dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,0,1.0,179,40,1,utag_0000,0.011646533384919167,True
BC-Jackson2020,response,0,0,1.0,179,40,1,utag_0001,0.08116165548563004,True
BC-Jackson2020,response,0,0,1.0,179,40,1,utag_0002,-0.10821077972650528,True
BC-Jackson2020,response,0,0,1.0,179,40,1,utag_0003,0.02102380245923996,True
BC-Jackson2020,response,0,0,1.0,179,40,1,utag_0004,-0.09363766759634018,True
BC-Jackson2020,response,0,0,1.0,179,40,1,utag_0005,0.044032562524080276,True
BC-Jackson2020,response,0,0,1.0,179,40,1,utag_0006,-0.16441068053245544,True
BC-Jackson2020,response,0,0,1.0,179,40,1,utag_0007,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,utag_0008,-0.06213487312197685,True
BC-Jackson2020,response,0,0,1.0,179,40,1,utag_0009,-0.08726102113723755,True
BC-Jackson2020,response,0,1,1.0,177,42,1,utag_0000,0.03728095069527626,True
BC-Jackson2020,response,0,1,1.0,177,42,1,utag_0001,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,utag_0002,0.05972301959991455,True
BC-Jackson2020,response,0,1,1.0,177,42,1,utag_0003,-0.04020212963223457,True
BC-Jackson2020,response,0,1,1.0,177,42,1,utag_0004,-0.07028482854366302,True
BC-Jackson2020,response,0,1,1.0,177,42,1,utag_0005,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,utag_0006,0.21439552307128906,True
BC-Jackson2020,response,0,1,1.0,177,42,1,utag_0007,-0.05781221389770508,True
BC-Jackson2020,response,0,1,1.0,177,42,1,utag_0008,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,utag_0009,-0.32195860147476196,True
BC-Jackson2020,response,0,2,1.0,175,44,1,utag_0000,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,utag_0001,-0.05596787855029106,True
BC-Jackson2020,response,0,2,1.0,175,44,1,utag_0002,-0.11465661972761154,True
BC-Jackson2020,response,0,2,1.0,175,44,1,utag_0003,-0.05192380025982857,True
BC-Jackson2020,response,0,2,1.0,175,44,1,utag_0004,0.055308617651462555,True
BC-Jackson2020,response,0,2,1.0,175,44,1,utag_0005,-0.3952611982822418,True
BC-Jackson2020,response,0,2,1.0,175,44,1,utag_0006,-0.08083240687847137,True
BC-Jackson2020,response,0,2,1.0,175,44,1,utag_0007,0.25305262207984924,True
BC-Jackson2020,response,0,2,1.0,175,44,1,utag_0008,0.13658922910690308,True
BC-Jackson2020,response,0,2,1.0,175,44,1,utag_0009,-0.09571225196123123,True
BC-Jackson2020,response,0,3,1.0,174,45,1,utag_0000,-0.01758705824613571,True
BC-Jackson2020,response,0,3,1.0,174,45,1,utag_0001,0.7962883710861206,True
BC-Jackson2020,response,0,3,1.0,174,45,1,utag_0002,-0.09722746908664703,True
BC-Jackson2020,response,0,3,1.0,174,45,1,utag_0003,-0.0891164243221283,True
BC-Jackson2020,response,0,3,1.0,174,45,1,utag_0004,0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,utag_0005,-0.04636254534125328,True
BC-Jackson2020,response,0,3,1.0,174,45,1,utag_0006,0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,utag_0007,-0.022473089396953583,True
BC-Jackson2020,response,0,3,1.0,174,45,1,utag_0008,0.10445325076580048,True
