dataset,task,class,feature,seed,coefficient_mean,coefficient_sd,fold_selection_frequency,n_folds,selected
BC-Jackson2020,response,1,utag_0000,0,0.006268085166811943,0.020238399047915,0.6,5,True
BC-Jackson2020,response,1,utag_0000,1,-0.054921260289847854,0.33941094586156884,1.0,5,True
BC-Jackson2020,response,1,utag_0000,2,-0.0725139532238245,0.12733177501994783,1.0,5,True
BC-Jackson2020,response,1,utag_0001,0,0.0900938205420971,0.43036640928665093,0.8,5,True
BC-Jackson2020,response,1,utag_0001,1,0.02712903022766113,0.21671807440857377,0.8,5,True
BC-Jackson2020,response,1,utag_0001,2,-0.02748527154326439,0.18767070250739198,1.0,5,True
BC-Jackson2020,response,1,utag_0002,0,-0.09882064759731293,0.10449700160648753,1.0,5,True
BC-Jackson2020,response,1,utag_0002,1,-0.0002913713455200195,0.1334944255133712,0.8,5,True
BC-Jackson2020,response,1,utag_0002,2,-0.06081610526889562,0.14966056924776402,1.0,5,True
BC-Jackson2020,response,1,utag_0003,0,-0.1071122258901596,0.15509105032998846,1.0,5,True
BC-Jackson2020,response,1,utag_0003,1,0.0585138101130724,0.15673646270555083,0.6,5,True
BC-Jackson2020,response,1,utag_0003,2,-0.03070907723158598,0.07950479751650266,0.8,5,True
BC-Jackson2020,response,1,utag_0004,0,-0.02172277569770813,0.06001586911548017,0.6,5,True
BC-Jackson2020,response,1,utag_0004,1,-0.04716361545724794,0.07573379213118336,0.6,5,True
BC-Jackson2020,response,1,utag_0004,2,-0.018271830677986146,0.1492200624290846,0.6,5,True
BC-Jackson2020,response,1,utag_0005,0,-0.07357383333146572,0.18312401564754865,0.8,5,True
BC-Jackson2020,response,1,utag_0005,1,-0.10295274928212166,0.10841794599454622,1.0,5,True
BC-Jackson2020,response,1,utag_0005,2,-0.022579404711723327,0.050489083826892406,0.2,5,False
BC-Jackson2020,response,1,utag_0006,0,-0.02931528687477112,0.14885095844885393,0.8,5,True
BC-Jackson2020,response,1,utag_0006,1,-0.10711904838681222,0.14518989066241506,0.8,5,True
BC-Jackson2020,response,1,utag_0006,2,0.023636636137962342,0.16139119731750717,0.6,5,True
BC-Jackson2020,response,1,utag_0007,0,0.06043732315301895,0.1288108357685262,0.8,5,True
BC-Jackson2020,response,1,utag_0007,1,-0.015042134560644627,0.08220439759309323,1.0,5,True
BC-Jackson2020,response,1,utag_0007,2,-0.177333764731884,0.1873045663189305,1.0,5,True
BC-Jackson2020,response,1,utag_0008,0,0.05643581822514534,0.08391637675798606,0.8,5,True
BC-Jackson2020,response,1,utag_0008,1,-0.018718869984149934,0.20723183144071192,0.6,5,True
BC-Jackson2020,response,1,utag_0008,2,-0.09040727093815804,0.10864606927785861,0.8,5,True
BC-Jackson2020,response,1,utag_0009,0,0.02098071128129959,0.29640781334198346,1.0,5,True
BC-Jackson2020,response,1,utag_0009,1,-0.11842788010835648,0.3557572717508881,0.8,5,True
BC-Jackson2020,response,1,utag_0009,2,-0.13089540898799895,0.19569187180588765,0.4,5,False
BC-Jackson2020,clinical_type,HR+HER2+,utag_0000,0,0.024982114508748054,0.17988960571859394,0.8,5,True
BC-Jackson2020,clinical_type,HR+HER2+,utag_0000,1,-0.050409619510173795,0.059110611114389554,0.6,5,True
BC-Jackson2020,clinical_type,HR+HER2+,utag_0000,2,-0.2803376391530037,0.5329207186090883,0.8,5,True
